tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,735281.3582347606,989015.7974630164,156997.0356164383,239396.64657534257,76,209,72,27750.73150684932,93179.37260273969,36066.931506849316,74,222,347,24425.89315068494,75912.01643835615,139058.73698630134,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5894108389230142,1.5455316973030382,62,80,295,563,27.568129897132085,25.94150797956633,1,34,124,329,123,144,109,136,357,643,724985.9596383009,973366.3877288232,147093.64109589037,223589.57260273982,76,209,72,38020.424657534255,78807.68219178086,30265.534246575346,74,222,347,20388.813698630132,73227.39726027398,129973.36164383554,47754.0,47741.0,3960.0,15335.0,15515.0,97383.0,96958.0,2726.0,18972.0,18656.0
730,1000,1.574372375846834,1.471918749597142,61,80,296,563,27.92952413647447,26.10034811073877,1,37,124,329,119,137,113,140,357,643,725909.582642197,971590.1243885919,147338.82465753413,221587.6547945205,76,209,72,38572.331506849325,78495.39726027397,30271.095890410958,74,222,347,20771.876712328754,73517.07671232875,127298.70136986296,47702.0,47818.0,3844.0,15309.0,15632.0,98773.0,96392.0,2386.0,19081.0,18063.0
1095,1000,1.5690228119942986,1.4345516987297997,62,80,295,563,28.327372757239104,26.296851939005652,1,35,125,324,110,132,121,152,357,643,725285.9078039024,971001.5631392042,147425.80547945207,220790.6520547945,76,209,72,38711.80547945206,78699.45753424655,30014.542465753435,74,222,347,21549.216438356154,74566.52054794523,124674.91506849317,47814.0,47479.0,3872.0,15420.0,15720.0,99409.0,96010.0,2296.0,18666.0,18314.0
1460,1000,1.574363349713403,1.4048854120581593,63,78,294,565,28.825262281617935,26.53408575657805,1,33,126,325,97,123,133,162,357,643,726140.5204130926,971267.9893755154,147356.47397260275,220605.35342465743,76,209,72,38380.30684931507,78719.52328767124,30256.643835616425,74,222,347,22262.74246575342,74482.32328767124,123860.28767123281,47629.0,47640.0,4133.0,15536.0,15367.0,99289.0,96198.0,2384.0,18717.0,18107.0
1825,1000,1.5980039775071746,1.376392637111648,63,80,294,563,29.423373920598557,26.8574177790447,1,33,123,326,100,118,133,166,357,643,725909.1768662134,970871.5384230694,148435.07945205492,221367.63013698653,76,209,72,38836.04109589042,78832.86849315069,30766.169863013693,74,222,347,22931.093150684937,75946.96986301364,122489.56712328765,47383.0,47549.0,3838.0,15903.0,15632.0,98941.0,96370.0,2253.0,18808.0,18323.0
2190,1000,1.6020871904351768,1.3615141871893568,65,77,292,566,29.932134821577826,27.16350780275985,1,30,124,339,98,112,134,162,357,643,725911.4412960592,968697.42857318,148714.28767123295,219682.315068493,76,209,72,38409.3808219178,79320.83013698625,30984.076712328762,74,222,347,23151.652054794522,77088.07671232872,119442.58630136987,47482.0,47130.0,3882.0,16134.0,15677.0,99515.0,96463.0,2436.0,18263.0,18018.0
2555,1000,1.6322583019488106,1.3705865298241118,65,75,292,568,30.619735200105403,27.476376091852842,1,35,136,340,88,108,132,160,357,643,726893.9081429789,966910.8092481093,149839.53972602726,217079.3534246575,76,209,72,38668.786301369866,79895.04931506854,31275.704109589045,74,222,347,22801.290410958907,76585.6219178082,117692.44109589032,47235.0,46949.0,3747.0,16292.0,16082.0,100098.0,97267.0,2221.0,17647.0,17462.0
2920,1000,1.6660090760658028,1.3482588802004147,66,76,291,567,31.3002623260786,27.954178273666024,1,34,135,343,83,102,138,164,357,643,727346.4247850534,967047.757390596,149683.61643835614,217528.9534246578,76,209,72,38671.01095890409,79455.76438356169,31556.841095890413,74,222,347,23623.484931506857,76456.39452054795,117449.07397260265,47305.0,46979.0,3744.0,16056.0,16221.0,100057.0,96996.0,2296.0,18117.0,17229.0
3285,1000,1.6852619002614355,1.3523305711339624,67,73,290,570,32.26350933017787,28.423108009892523,1,38,133,345,86,99,137,161,357,643,728238.6477402381,966614.8588132898,150536.87671232887,217233.71780821928,76,209,72,38679.42191780821,80353.38356164379,31504.07123287672,74,222,347,24305.747945205483,76141.98082191785,116785.98904109573,46823.0,47066.0,3939.0,16189.0,16288.0,100218.0,96971.0,2416.0,17781.0,17309.0
3650,1000,1.7204571577080647,1.3610528175289716,66,75,291,568,33.21860930091849,29.058540640415377,2,42,136,341,90,99,129,161,357,643,728229.8170689233,966991.5830402919,149674.87123287667,216952.49315068504,76,209,72,38440.74794520548,80527.0438356164,30707.079452054786,74,222,347,24059.967123287675,75821.0904109589,117071.43561643838,47223.0,46929.0,3825.0,16132.0,16196.0,100488.0,96756.0,2288.0,18009.0,17154.0
