tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734087.9386204726,988630.1265398529,156872.3589041096,239502.86301369837,76,209,72,27688.51780821918,93086.76986301373,36097.07123287671,74,222,347,24428.520547945216,75924.21369863018,139150.1287671233,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5583834247043347,145,855,38,447,264,251,357,643,728147.7945820149,991186.4634879121,151749.11780821925,242112.49041095888,76,209,72,39409.5205479452,81619.75068493151,30719.846575342464,74,222,347,22567.895890410957,80428.2136986302,139116.3808219178,46205.0,46737.0,4750.0,16269.0,16344.0,92342.0,91136.0,6357.0,22202.0,22658.0
730,1000,1.508401185714556,146,854,40,439,246,275,357,643,730744.9481868432,993457.9694085198,152145.03287671233,244107.7616438353,76,209,72,39574.95068493152,82085.31506849318,30484.767123287667,74,222,347,23136.83287671232,82319.16986301365,138651.75890410956,46622.0,45939.0,4619.0,16654.0,16471.0,91841.0,90918.0,5918.0,23069.0,22949.0
1095,1000,1.4967643460859614,146,854,36,457,212,295,357,643,731298.177997672,989102.2449302853,153731.5397260274,239614.95616438345,76,209,72,39527.52876712327,83921.67397260273,30282.336986301372,74,222,347,23395.03835616438,81850.03013698633,134369.88767123298,46265.0,45635.0,4560.0,16898.0,16947.0,93200.0,91392.0,6118.0,22289.0,21696.0
1460,1000,1.5216217497678597,145,855,37,458,195,310,357,643,731109.6154590369,989179.7743664708,154611.99452054795,238675.1506849312,76,209,72,40080.345205479476,84192.85205479446,30338.79726027397,74,222,347,24068.542465753428,81504.96986301368,133101.63835616436,45881.0,45532.0,4509.0,17335.0,17048.0,93191.0,91909.0,6262.0,21908.0,21425.0
1825,1000,1.5467635332838947,146,854,37,452,191,320,357,643,733561.1300828697,987887.5312387665,155021.66027397255,238805.0219178083,76,209,72,40067.97534246574,84634.61095890413,30319.073972602746,74,222,347,24887.5506849315,82704.1205479452,131213.35068493147,45920.0,45470.0,4309.0,17148.0,17458.0,93354.0,91869.0,6076.0,21411.0,21985.0
2190,1000,1.5772891324485427,148,852,40,440,193,327,357,643,732152.2934383529,990091.7923870183,154879.63835616433,240614.05205479448,76,209,72,39634.61643835617,84772.50958904107,30472.512328767127,74,222,347,25728.43287671233,84542.82739726028,130342.79178082204,45744.0,45613.0,4556.0,17326.0,17066.0,92823.0,91475.0,6172.0,22227.0,21998.0
2555,1000,1.6191046128158995,153,847,40,437,201,322,357,643,732131.3554836812,993307.2158614118,154941.56712328768,242569.9095890413,76,209,72,39450.863013698625,84740.44109589042,30750.263013698626,74,222,347,26386.260273972603,86323.84931506845,129859.79999999994,45976.0,45204.0,4721.0,17225.0,17179.0,92360.0,90923.0,6152.0,22649.0,22611.0
