tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,733855.2409157272,989175.8118644732,156784.312328767,239480.7397260273,76,209,72,27696.06027397261,93037.8328767124,36050.4191780822,74,222,347,24411.94246575343,75847.35068493149,139221.44657534236,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5894108389230142,1.5455316973030382,62,80,295,563,27.568129897132085,25.94150797956633,1,34,124,329,123,144,109,136,357,643,724790.7679630512,973172.8346600764,147200.40821917806,223683.03287671253,76,209,72,37998.07945205478,78835.49315068494,30366.83561643836,74,222,347,20360.32602739726,73174.74520547943,130147.96164383556,47754.0,47741.0,3960.0,15335.0,15515.0,97383.0,96958.0,2726.0,18972.0,18656.0
730,1000,1.574372375846834,1.471918749597142,61,80,296,563,27.92952413647447,26.10034811073877,1,37,124,329,119,137,113,140,357,643,724924.5686301854,971173.188436721,147314.5150684932,221551.72328767128,76,209,72,38526.32602739724,78494.65753424662,30293.53150684932,74,222,347,20738.863013698632,73460.42465753424,127352.4356164384,47702.0,47818.0,3844.0,15309.0,15632.0,98773.0,96392.0,2386.0,19081.0,18063.0
1095,1000,1.5690228119942986,1.4345516987297997,62,80,295,563,28.327372757239104,26.296851939005652,1,35,125,324,110,132,121,152,357,643,725287.3646976349,970302.3511561002,147392.83561643836,220852.10410958904,76,209,72,38663.86849315069,78785.19999999995,29943.76712328768,74,222,347,21539.353424657536,74520.04657534248,124792.70410958897,47814.0,47479.0,3872.0,15420.0,15720.0,99409.0,96010.0,2296.0,18666.0,18314.0
1460,1000,1.574363349713403,1.4048854120581593,63,78,294,565,28.825262281617935,26.53408575657805,1,33,126,325,97,123,133,162,357,643,725075.3672933726,970230.7325406664,147332.00273972584,220714.84383561657,76,209,72,38396.82739726028,78702.76164383559,30232.41369863014,74,222,347,22240.950684931504,74494.53150684932,123979.36164383563,47629.0,47640.0,4133.0,15536.0,15367.0,99289.0,96198.0,2384.0,18717.0,18107.0
1825,1000,1.5980039775071746,1.376392637111648,63,80,294,563,29.423373920598557,26.8574177790447,1,33,123,326,100,118,133,166,357,643,725460.4160852355,971260.965082061,148359.59178082197,221474.38082191773,76,209,72,38795.334246575345,78821.79452054795,30742.463013698623,74,222,347,22948.19178082192,75923.93424657536,122602.25479452059,47383.0,47549.0,3838.0,15903.0,15632.0,98941.0,96370.0,2253.0,18808.0,18323.0
2190,1000,1.6020871904351768,1.3615141871893568,65,77,292,566,29.932134821577826,27.16350780275985,1,30,124,339,98,112,134,162,357,643,726352.1075555047,969910.0507786432,148705.31232876715,219666.3041095892,76,209,72,38431.342465753434,79321.54794520549,30952.42191780822,74,222,347,23125.827397260273,77101.45753424655,119439.01917808212,47482.0,47130.0,3882.0,16134.0,15677.0,99515.0,96463.0,2436.0,18263.0,18018.0
2555,1000,1.6322583019488106,1.3705865298241118,65,75,292,568,30.619735200105403,27.476376091852842,1,35,136,340,88,108,132,160,357,643,726640.4617948915,967546.6370665219,149796.32602739718,217390.68493150696,76,209,72,38652.578082191794,79864.80273972603,31278.945205479453,74,222,347,22781.799999999992,76788.04657534247,117820.83835616439,47235.0,46949.0,3747.0,16292.0,16082.0,100098.0,97267.0,2221.0,17647.0,17462.0
2920,1000,1.6660090760658028,1.3482588802004147,66,76,291,567,31.3002623260786,27.954178273666024,1,34,135,343,83,102,138,164,357,643,727976.7985936219,966634.2256235802,149731.63013698653,217562.90410958894,76,209,72,38667.53698630136,79476.99178082187,31587.101369863012,74,222,347,23638.69863013698,76503.9150684932,117420.29041095889,47305.0,46979.0,3744.0,16056.0,16221.0,100057.0,96996.0,2296.0,18117.0,17229.0
3285,1000,1.6852619002614355,1.3523305711339624,67,73,290,570,32.26350933017787,28.423108009892523,1,38,133,345,86,99,137,161,357,643,727997.0087444462,966804.5881686799,150352.03287671227,217224.88493150685,76,209,72,38656.10410958903,80259.84931506852,31436.079452054793,74,222,347,24364.1506849315,76236.14246575345,116624.59178082195,46823.0,47066.0,3939.0,16189.0,16288.0,100218.0,96971.0,2416.0,17781.0,17309.0
3650,1000,1.7204571577080647,1.3610528175289716,66,75,291,568,33.21860930091849,29.058540640415377,2,42,136,341,90,99,129,161,357,643,726729.2172941775,967289.4885381131,149855.65753424645,216971.42191780827,76,209,72,38463.88219178082,80599.73972602744,30792.03561643837,74,222,347,23958.484931506853,75887.89863013703,117125.03835616443,47223.0,46929.0,3825.0,16132.0,16196.0,100488.0,96756.0,2288.0,18009.0,17154.0
