tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734715.642294131,988161.6768690653,156957.86849315077,239290.92602739736,76,209,72,27762.99726027397,93147.13150684928,36047.73972602739,74,222,347,24469.999999999993,75763.85753424655,139057.0684931506,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.6076818932255859,1.5373042034712112,62,80,295,563,27.209918750400067,25.670055063616527,1,35,132,352,131,132,93,124,357,643,716513.0039500146,967753.8632971494,139510.59726027393,217894.10958904127,76,209,72,36617.67671232876,74184.05479452053,28708.86575342465,74,222,347,19833.501369863017,72010.03561643837,126050.57260273966,50025.0,49855.0,2570.0,13857.0,13998.0,98999.0,98559.0,1852.0,17762.0,17523.0
730,1000,1.6092605226015315,1.4684836025566146,62,82,295,561,27.245217591388265,25.617758998302126,1,37,150,364,115,117,91,125,357,643,717835.8549768034,967037.3800357581,140327.10410958895,217353.58904109604,76,209,72,37628.80547945204,73944.62465753428,28753.673972602737,74,222,347,20675.720547945206,72816.10684931505,123861.76164383552,49811.0,49755.0,2502.0,13979.0,14258.0,99846.0,97811.0,1505.0,18199.0,17334.0
1095,1000,1.608874522823745,1.4328264866963911,63,78,294,565,27.387780760870665,25.660210284065077,1,37,163,371,102,109,91,126,357,643,717506.6888791902,964087.2930354122,140305.191780822,214919.61643835614,76,209,72,37854.19452054795,73435.13972602734,29015.85753424656,74,222,347,20968.000000000004,73335.93972602738,120615.67671232876,49925.0,49535.0,2487.0,14003.0,14355.0,100905.0,97858.0,1528.0,17426.0,16978.0
1460,1000,1.636891522597365,1.4204259258550247,63,78,294,565,27.629905745010515,25.7162291983959,1,33,173,392,91,100,92,118,357,643,717856.7044730083,963142.7003540704,140077.50958904132,214142.7397260278,76,209,72,37517.605479452046,73452.44657534249,29107.457534246583,74,222,347,21835.16438356165,73978.63835616435,118328.93698630131,49696.0,50024.0,2380.0,14226.0,13979.0,100939.0,98411.0,1399.0,17197.0,16749.0
1825,1000,1.6644232602356286,1.4083872921047014,64,75,293,568,28.05239414210468,25.93617558700797,1,35,178,399,94,82,84,127,357,643,717045.1871010519,962867.4883827224,140807.46301369864,212709.0821917805,76,209,72,37771.12602739726,74197.77260273976,28838.56438356164,74,222,347,22061.123287671242,74462.86301369865,116185.09589041094,49606.0,49684.0,2471.0,14441.0,14103.0,101097.0,98963.0,1450.0,16719.0,16466.0
2190,1000,1.6965754787098646,1.4023563964241426,64,76,293,567,28.43681338579393,26.135796385468556,1,40,191,400,83,80,82,123,357,643,718505.166919983,961423.1853164664,140982.1808219179,212180.52328767147,76,209,72,37523.3890410959,74278.05753424659,29180.734246575328,74,222,347,23024.12876712329,74421.75890410958,114734.63561643839,49743.0,49423.0,2439.0,14463.0,14237.0,101407.0,98821.0,1508.0,16545.0,16414.0
2555,1000,1.741785135771808,1.4190557302736813,65,74,292,569,29.005402752702643,26.394636629383378,1,39,199,411,76,78,81,115,357,643,718501.5617333065,961204.7819075526,141434.31780821917,212059.62739726034,76,209,72,37839.59178082191,74480.80547945203,29113.920547945203,74,222,347,23213.835616438355,74793.69315068492,114052.09863013698,49626.0,49329.0,2460.0,14436.0,14454.0,101447.0,98800.0,1475.0,16565.0,16408.0
2920,1000,1.7869474829175904,1.4002301729393152,65,73,292,570,29.6758734640059,26.814207540627898,1,40,215,417,61,80,80,106,357,643,718560.0389881824,959676.2442447925,141505.30136986313,210260.7479452055,76,209,72,37731.416438356166,74344.33150684924,29429.55342465753,74,222,347,22625.04657534247,74438.79726027399,113196.90410958907,49702.0,49313.0,2308.0,14465.0,14517.0,101920.0,99176.0,1455.0,16495.0,15649.0
3285,1000,1.8306441836776444,1.4216989414041996,65,78,292,565,30.508931287004994,27.29081176674639,1,38,228,429,54,70,74,106,357,643,718731.8965849685,961289.5459552412,141282.65205479454,211276.9561643836,76,209,72,37726.709589041086,74488.4273972603,29067.51506849315,74,222,347,23877.580821917807,74383.94520547948,113015.43013698634,49419.0,49748.0,2335.0,14343.0,14460.0,101869.0,98810.0,1325.0,16554.0,16137.0
3650,1000,1.8692954096927326,1.4392437285410067,65,78,292,565,31.519235091588044,27.875429787475117,2,40,233,438,48,60,74,105,357,643,718084.7066835499,961700.5934595141,141111.810958904,211779.65205479437,76,209,72,37568.79999999999,74491.25479452053,29051.756164383547,74,222,347,24360.128767123286,74321.04931506852,113098.47397260282,49667.0,49479.0,2354.0,14343.0,14462.0,101749.0,98600.0,1256.0,16899.0,16191.0
