tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734844.7722601176,989118.820308675,156953.64931506856,239389.80000000008,76,209,72,27754.54794520549,93100.53698630142,36098.564383561636,74,222,347,24443.326027397256,75857.31506849315,139089.15890410964,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5569460588762427,142,858,35,456,277,232,357,643,724687.0455140959,973399.4204301607,147123.9917808219,223502.0027397258,76,209,72,38026.57260273972,78850.61917808221,30246.80000000001,74,222,347,20412.928767123285,73186.86575342466,129902.20821917817,47757.0,47751.0,3945.0,15337.0,15515.0,97378.0,96969.0,2732.0,18961.0,18655.0
730,1000,1.4956060501346176,141,859,35,454,278,233,357,643,725257.2546518829,970512.9965031954,147398.0520547945,221169.99178082205,76,209,72,38536.74794520548,78508.99178082195,30352.312328767122,74,222,347,20736.40273972603,73432.99999999997,127000.58904109593,47698.0,47822.0,3842.0,15304.0,15639.0,98818.0,96389.0,2398.0,19045.0,18045.0
1095,1000,1.4517856457312368,138,862,35,454,257,254,357,643,725387.2987215221,969136.3845555709,147393.4958904109,220142.98904109592,76,209,72,38711.465753424665,78893.84931506842,29788.180821917802,74,222,347,21488.561643835612,74229.92876712332,124424.49863013696,47887.0,47539.0,3881.0,15328.0,15670.0,99569.0,96114.0,2317.0,18523.0,18172.0
1460,1000,1.421228900985101,136,864,35,446,256,263,357,643,723392.2989497164,968755.9695526154,146624.2794520548,218547.62739726005,76,209,72,38367.13698630137,78665.0273972603,29592.115068493138,74,222,347,22242.895890410953,74341.07123287673,121963.66027397264,47787.0,47817.0,4131.0,15377.0,15193.0,99877.0,96680.0,2375.0,18168.0,17595.0
1825,1000,1.3934821781128575,140,860,35,449,244,272,357,643,724186.3248781863,968052.8135814462,147227.6410958904,218508.49315068487,76,209,72,38657.68493150685,78216.37808219178,30353.57808219178,74,222,347,22854.339726027403,74983.14520547942,120671.00821917813,47650.0,47763.0,3862.0,15611.0,15419.0,99645.0,97062.0,2257.0,18143.0,17588.0
2190,1000,1.3701369897107685,138,862,35,454,230,281,357,643,726150.4532514224,967378.8632136715,148593.8904109588,217765.0109589039,76,209,72,38379.046575342465,79219.52328767121,30995.320547945208,74,222,347,23063.279452054794,75696.16712328767,119005.56438356166,47541.0,47161.0,3854.0,16101.0,15648.0,99987.0,96950.0,2438.0,17794.0,17526.0
2555,1000,1.3779562856994523,135,865,35,454,223,288,357,643,728152.8415723289,964519.8641227887,149800.34794520558,215024.3232876713,76,209,72,38628.01643835616,79896.88219178081,31275.44931506849,74,222,347,22790.31780821918,75188.32876712333,117045.6767123288,47257.0,46948.0,3754.0,16258.0,16088.0,100676.0,97822.0,2223.0,17104.0,16870.0
