tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734892.9124724488,987830.5490898798,156868.43835616438,239277.0000000001,76,209,72,27676.589041095882,93102.6849315068,36089.16438356165,74,222,347,24433.087671232875,75815.16164383561,139028.75068493147,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.28293307609009744,0.2587476270138526,6,8,351,635,27.078818454025154,25.67600528090192,1,35,131,341,140,144,85,123,357,643,692926.9737323883,951841.5952156642,115163.70958904114,202169.7342465755,76,209,72,27020.287671232873,64243.789041095886,23899.632876712327,74,222,347,22552.923287671227,68104.21643835612,111512.59452054804,55916.0,55798.0,3256.0,7553.0,7782.0,101723.0,102127.0,5708.0,12561.0,12576.0
730,1000,0.06086187440351159,0.04727590079085685,1,2,356,641,26.73340463717605,25.44408220376393,1,36,140,373,156,120,60,114,357,643,675666.6360143167,925084.4699167112,98577.62465753428,175944.98082191794,76,209,72,22208.375342465744,56925.97534246571,19443.273972602743,74,222,347,20651.257534246575,60293.74246575346,94999.98082191785,60214.0,59550.0,3086.0,3651.0,3804.0,108868.0,107645.0,5408.0,6522.0,6252.0
1095,1000,0.020787994661923152,0.005129287887052266,1,0,356,643,26.44347722544592,25.23888305195647,2,37,147,384,157,116,51,106,357,643,674260.0090006625,922488.2146307167,96765.09315068497,172874.68767123314,76,209,72,20903.095890410954,56632.26301369861,19229.734246575346,74,222,347,19876.37260273973,59091.79178082189,93906.52328767125,60916.0,59592.0,3153.0,3329.0,3315.0,109592.0,108678.0,5310.0,5567.0,5548.0
1460,1000,0.028670270105599516,0.0009950090910048363,1,0,356,643,26.19947765061626,25.034651660677927,2,37,164,397,144,109,47,100,357,643,675284.0851953719,922881.7234563789,97345.3698630137,172659.54246575345,76,209,72,21656.38630136987,56417.863013698654,19271.120547945204,74,222,347,19987.786301369862,59242.33150684935,93429.42465753421,60519.0,59848.0,3231.0,3284.0,3423.0,109599.0,108662.0,5524.0,5387.0,5523.0
1825,1000,0.0006715058395048188,0.0005428282617280771,0,0,357,643,25.947459327937935,24.854619001293788,2,38,174,414,142,100,39,91,357,643,674456.1162802998,922254.8830705705,96560.54794520559,172931.57260273964,76,209,72,20916.13424657534,56373.487671232906,19270.92602739726,74,222,347,19888.43561643835,59460.027397260215,93583.10958904117,60998.0,59635.0,3216.0,3191.0,3265.0,109654.0,108490.0,5471.0,5385.0,5695.0
2190,1000,0.00015345167692050612,0.00019470558018830068,0,0,357,643,25.70125798063334,24.704427486997893,2,37,187,422,137,100,31,84,357,643,673681.3923980083,923174.1795171327,96599.58904109587,173327.58904109613,76,209,72,20800.6301369863,56356.816438356174,19442.142465753423,74,222,347,19876.00273972602,59772.29863013699,93679.28767123286,60937.0,59634.0,3238.0,3299.0,3197.0,109453.0,108419.0,5619.0,5534.0,5670.0
2555,1000,7.702488284771542e-06,1.8373028143531e-05,0,0,357,643,25.501941395264954,24.54561861356122,1,35,199,431,127,99,30,78,357,643,673573.5116950758,922251.5895768695,96853.02739726019,172607.1561643836,76,209,72,20662.887671232867,56799.11232876715,19391.027397260266,74,222,347,20117.230136986298,59399.88493150688,93090.04109589048,60575.0,60005.0,3187.0,3244.0,3294.0,110111.0,107894.0,5549.0,5511.0,5630.0
2920,1000,4.15478351750487e-06,1.8221952065581565e-06,0,0,357,643,25.30803057183539,24.39792982130404,1,36,227,437,103,96,26,74,357,643,673897.4150362051,921863.6794491658,96412.29315068494,172779.61369863,76,209,72,20821.39178082192,56268.16438356165,19322.736986301374,74,222,347,20101.602739726026,59420.1890410959,93257.82191780824,60957.0,59724.0,3350.0,3013.0,3261.0,109810.0,108399.0,5407.0,5499.0,5580.0
3285,1000,4.319191355546371e-07,1.3215370699737271e-06,0,0,357,643,25.189201258220116,24.280480376150045,1,33,238,457,96,85,22,68,357,643,673986.1946297266,922522.0483029333,96748.57260273964,172473.70958904107,76,209,72,20784.3205479452,56658.98356164386,19305.268493150692,74,222,347,20061.663013698628,59619.35890410956,92792.68767123285,60621.0,60008.0,3201.0,3262.0,3213.0,110201.0,107991.0,5536.0,5494.0,5473.0
3650,1000,1.4857692975591682e-07,1.0624180898679431e-07,0,0,357,643,25.065958711524402,24.180638769938263,1,34,241,454,92,96,23,59,357,643,674393.28336756,922791.8989546201,96976.65753424664,173192.0821917808,76,209,72,21129.134246575344,56408.77808219178,19438.74520547945,74,222,347,20063.210958904107,59936.20821917807,93192.66301369872,60710.0,59736.0,3297.0,3212.0,3350.0,109481.0,108386.0,5654.0,5576.0,5598.0
