tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734291.0700527517,989931.1017576728,156998.98630136982,239435.5671232878,76,209,72,27783.709589041107,93103.495890411,36111.78082191781,74,222,347,24491.438356164388,75884.36438356164,139059.76438356168,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.7579852659461372,0.7590866586698617,22,35,335,608,27.209626997107975,25.707108730903332,1,37,122,341,150,141,84,124,357,643,705936.6267292402,956352.6228051201,128432.60273972602,206858.21917808196,76,209,72,31699.835616438366,70642.0767123288,26090.690410958905,74,222,347,19571.27945205479,69640.10684931508,117646.83287671226,52653.0,52616.0,2755.0,11186.0,11095.0,101470.0,101109.0,3035.0,14492.0,14589.0
730,1000,0.46942614600398597,0.404474745178441,13,20,344,623,26.99377566262643,25.53350321068522,1,36,134,355,143,136,79,116,357,643,685626.3097332973,928794.5204421121,108438.04383561635,178369.79178082192,76,209,72,25407.364383561635,60282.24931506851,22748.430136986302,74,222,347,18572.298630136982,62799.91232876711,96997.58082191783,57947.0,57259.0,2584.0,6219.0,6296.0,109649.0,106615.0,2739.0,7964.0,7728.0
1095,1000,0.26059367095630026,0.2291710362984253,7,8,350,635,26.72724265898614,25.365760926848253,1,40,152,360,132,133,72,110,357,643,680610.6197787608,918859.9044373049,103284.95068493143,169292.0356164386,76,209,72,24715.663013698624,58258.1698630137,20311.117808219173,74,222,347,18887.142465753415,59808.15890410959,90596.7342465754,59332.0,58315.0,2619.0,4939.0,5100.0,111678.0,109210.0,2698.0,5480.0,5629.0
1460,1000,0.11454332176369215,0.1330007296389051,3,5,354,638,26.44700293975909,25.16307787288069,1,39,172,383,119,118,65,103,357,643,675621.087506987,911864.6327575467,97311.87671232883,162923.90136986296,76,209,72,21553.747945205465,56317.79726027395,19440.331506849314,74,222,347,18276.657534246573,57033.27397260276,87613.96986301366,60910.0,59607.0,2736.0,3517.0,3535.0,113618.0,110304.0,2856.0,3971.0,3946.0
1825,1000,0.08213861160217492,0.07446605597932163,3,3,354,640,26.246933025581498,24.984266883082803,1,37,171,410,126,102,59,94,357,643,674001.8001115536,910475.7372836188,96556.61643835624,161510.61095890397,76,209,72,20998.76438356164,56709.74246575344,18848.1095890411,74,222,347,18200.221917808212,56148.205479452066,87162.18356164383,61131.0,59740.0,2655.0,3308.0,3471.0,113994.0,110562.0,2833.0,3635.0,3671.0
2190,1000,0.06606317552695416,0.05016952121561599,2,1,355,642,26.061318416615027,24.842415152459832,1,38,183,415,122,104,51,86,357,643,674096.5817770312,909222.7321509882,96719.53424657536,160201.74520547938,76,209,72,20879.654794520553,56784.30958904109,19055.569863013698,74,222,347,18361.663013698635,55587.9890410959,86252.09315068486,60994.0,59830.0,2752.0,3357.0,3372.0,114026.0,111275.0,2862.0,3388.0,3144.0
2555,1000,0.028968109420371445,0.024821193217812343,0,1,357,642,25.87797409428883,24.671353573863453,1,40,192,425,119,102,45,76,357,643,672790.7227416312,908784.9954165692,95137.7178082192,159082.66027397267,76,209,72,20674.682191780823,55596.64383561642,18866.391780821916,74,222,347,18165.942465753422,55464.956164383526,85451.76164383566,61487.0,60072.0,2779.0,2923.0,3044.0,114504.0,111385.0,2669.0,2957.0,3180.0
2920,1000,0.021387663791738124,0.010155012129909291,0,0,357,643,25.689788505961502,24.531302170610726,1,39,196,441,119,93,41,70,357,643,672309.4433522265,907883.1808809879,94639.19178082197,158199.18356164393,76,209,72,20198.279452054798,55540.87397260276,18900.03835616438,74,222,347,18209.271232876716,54274.79452054792,85715.11780821913,61486.0,60256.0,2848.0,2828.0,2887.0,115230.0,110896.0,2697.0,2894.0,2978.0
3285,1000,0.014403979919041555,0.006495080428105813,0,0,357,643,25.53200018962231,24.412695214095415,1,41,215,451,105,84,36,67,357,643,672700.8784641469,907758.7025116902,94619.72328767116,157946.98356164398,76,209,72,20439.810958904112,55182.895890410924,18997.016438356164,74,222,347,18184.84383561644,54256.334246575316,85505.8054794521,61387.0,60548.0,2863.0,2797.0,2710.0,115017.0,111232.0,2804.0,2791.0,2851.0
3650,1000,0.005814231212553246,0.0043110850660848625,0,0,357,643,25.373770288693457,24.31878409973116,1,40,218,454,109,85,29,64,357,643,671371.2834420676,907876.6114436433,94420.97808219181,158851.27945205473,76,209,72,20378.654794520553,55233.687671232845,18808.63561643836,74,222,347,18466.345205479447,54719.19452054793,85665.73972602734,61566.0,60282.0,2750.0,2869.0,2838.0,114274.0,111907.0,2734.0,2858.0,2922.0
