tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,733476.8699613883,989189.1024049313,157008.44109589042,239426.36438356177,76,209,72,27750.72602739726,93175.89589041099,36081.81917808221,74,222,347,24437.172602739724,75881.8739726027,139107.3178082191,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.8353589421208338,0.8734313376772775,25,38,332,605,27.16853196772789,25.7099413432758,1,34,122,341,149,144,85,124,357,643,706771.778682024,960815.7177512862,129548.58356164394,212113.7479452053,76,209,72,31232.241095890422,71623.02191780823,26693.320547945204,74,222,347,20117.95616438356,68996.04383561645,122999.7479452055,52157.0,52470.0,3137.0,11174.0,11367.0,100124.0,99373.0,3889.0,15597.0,15712.0
730,1000,0.5617881414043417,0.45846717430363865,14,19,343,624,26.99788413078355,25.53817468526926,1,37,130,349,143,143,83,114,357,643,688597.2928363852,933058.4854119042,111766.98904109592,184058.8054794521,76,209,72,25510.095890410958,64784.654794520575,21472.23835616438,74,222,347,19025.835616438355,60834.6684931507,104198.30136986295,56891.0,56366.0,3251.0,6803.0,6994.0,107551.0,105700.0,3594.0,8955.0,8895.0
1095,1000,0.3745729164006917,0.29781111558197176,9,12,348,631,26.729404364245205,25.343357347736585,2,41,141,361,142,137,72,104,357,643,682903.9804325635,923596.3899383656,105514.95342465753,174052.87945205485,76,209,72,24922.898630136984,60767.95342465754,19824.101369863012,74,222,347,18942.071232876704,58052.369863013686,97058.43835616442,58602.0,57641.0,3321.0,5499.0,5242.0,110073.0,108146.0,3691.0,6604.0,6181.0
1460,1000,0.1692914374547264,0.21042156515916333,5,10,352,633,26.479286798821,25.159530853508304,2,41,155,375,142,126,58,101,357,643,679999.5916189206,922500.2741816257,102459.38356164383,171827.55068493157,76,209,72,23786.219178082192,58883.602739726026,19789.56164383561,74,222,347,19004.994520547953,59304.254794520566,93518.30136986301,59074.0,58776.0,3344.0,4408.0,4703.0,111193.0,107928.0,3580.0,5943.0,6051.0
1825,1000,0.1269055785435466,0.13194881928188748,2,7,355,636,26.27959803843944,25.02086921571271,2,39,165,384,138,123,52,97,357,643,677130.6382781136,919156.0265447375,100292.6849315069,169923.09315068493,76,209,72,22802.375342465755,57637.59178082192,19852.717808219186,74,222,347,19539.69315068493,58730.901369863015,91652.49863013698,59988.0,58726.0,3325.0,4055.0,4211.0,111454.0,108693.0,3641.0,5483.0,5424.0
2190,1000,0.08156596145046699,0.08930009252732754,1,4,356,639,26.097488366575142,24.85668865299072,2,39,174,401,136,112,45,91,357,643,676328.5164507393,916555.4403005446,98650.64383561646,167026.8356164384,76,209,72,21240.794520547937,57764.95068493156,19644.89863013699,74,222,347,18777.169863013696,58049.032876712365,90200.63287671238,60363.0,59212.0,3296.0,3660.0,3774.0,112014.0,109720.0,3557.0,4703.0,4701.0
2555,1000,0.040013963362701924,0.05424808540431963,0,0,357,643,25.91635402381829,24.699658263123943,1,38,184,414,133,107,39,84,357,643,675931.5364084276,913396.5097776474,98647.89041095888,164153.37534246582,76,209,72,21128.528767123276,57752.37808219179,19766.98356164383,74,222,347,18682.920547945203,56113.36986301373,89357.08493150685,60108.0,59563.0,3366.0,3530.0,3738.0,113111.0,109694.0,3716.0,4122.0,4052.0
2920,1000,0.032428371519925184,0.042596544237528386,0,1,357,642,25.807026062487328,24.546595946677705,1,39,195,424,123,103,38,77,357,643,675711.4639505934,912086.67607328,97478.48493150692,162842.92602739722,76,209,72,21073.920547945207,56733.89315068496,19670.671232876717,74,222,347,18639.271232876716,55843.39726027397,88360.25753424654,60811.0,59157.0,3389.0,3474.0,3474.0,113056.0,110687.0,3602.0,3625.0,3725.0
3285,1000,0.017198261521387304,0.027239008247286485,0,0,357,643,25.64867233088028,24.41620652906003,2,38,200,427,122,107,33,71,357,643,674115.0789159036,912984.4937127196,97416.0931506848,162949.72602739732,76,209,72,20987.216438356158,56870.46027397262,19558.41643835617,74,222,347,18712.830136986304,56068.5589041096,88168.33698630138,60423.0,59787.0,3419.0,3409.0,3267.0,113280.0,110231.0,3768.0,3692.0,3724.0
3650,1000,0.009658965266903614,0.02512658264826472,0,1,357,642,25.492851779926916,24.272047912113525,2,38,214,441,111,100,30,64,357,643,675565.886462518,913887.8350273044,97923.94246575334,163176.24109589058,76,209,72,20944.509589041096,57027.797260274,19951.63561643836,74,222,347,18587.320547945197,55963.58082191781,88625.3397260274,60220.0,59823.0,3389.0,3403.0,3470.0,112887.0,110738.0,3633.0,3796.0,3641.0
