tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734492.3868558932,989259.8758218879,157014.89863013703,239424.52876712327,76,209,72,27678.745205479452,93219.12328767126,36117.0301369863,74,222,347,24477.05479452054,75840.74520547944,139106.72876712328,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.7250170806079177,0.5814764402006214,23,22,334,621,27.119219237836845,25.77780929697269,1,37,128,343,144,133,84,130,357,643,699080.4166821333,955266.5204949727,121656.81369863015,205658.73972602747,76,209,72,28595.975342465747,68352.5698630137,24708.26849315068,74,222,347,20961.021917808215,68498.90958904113,116198.80821917813,54278.0,54753.0,2003.0,9580.0,9691.0,101752.0,101120.0,3668.0,14151.0,14004.0
730,1000,0.25479715828852023,0.18860143516169145,4,6,353,637,26.878408798021077,25.633471676559367,1,38,132,346,149,134,75,125,357,643,675220.549206085,921614.0168982038,97942.71232876713,172462.4273972603,76,209,72,20542.80547945206,57989.720547945166,19410.186301369868,74,222,347,19460.934246575336,58619.29589041095,94382.19726027391,60736.0,59968.0,1718.0,3960.0,3923.0,110788.0,108125.0,3520.0,6162.0,6100.0
1095,1000,0.131305300344189,0.07481226562411085,2,1,355,642,26.65947049640717,25.468877326850773,1,39,145,355,140,125,71,124,357,643,669285.917427879,913755.6356345047,90687.04657534242,164771.28219178083,76,209,72,19756.172602739727,53214.62739726031,17716.24657534247,74,222,347,18986.15890410959,55536.613698630135,90248.50958904109,62893.0,61246.0,1818.0,2165.0,2183.0,112379.0,110464.0,3466.0,4240.0,4146.0
1460,1000,0.0582243444449291,0.018547071505229204,1,0,356,643,26.420231279411738,25.317559688075665,2,39,152,372,140,120,63,112,357,643,668360.5355566588,912445.3961077958,90376.07945205475,161823.4876712328,76,209,72,19257.687671232874,53195.66301369864,17922.72876712328,74,222,347,18540.704109589045,55660.41369863015,87622.36986301375,63051.0,61318.0,1768.0,2043.0,2125.0,113606.0,110601.0,3445.0,3544.0,3499.0
1825,1000,0.04600391980776582,0.00790209688751142,1,0,356,643,26.174833370872804,25.163287791059187,1,39,166,378,139,116,51,110,357,643,667813.8708561297,911560.6715358881,90033.28219178077,162252.32054794522,76,209,72,19179.69863013698,53219.7506849315,17633.832876712328,74,222,347,18605.569863013698,56022.35342465754,87624.39726027404,63084.0,61373.0,1773.0,1982.0,2093.0,113315.0,110908.0,3388.0,3427.0,3657.0
2190,1000,0.02428095718831239,0.0023705012465734666,0,0,357,643,25.981020543161858,25.042397630657632,1,38,174,390,139,115,43,100,357,643,666108.7686158057,912042.3411367213,88929.75616438357,162143.79726027395,76,209,72,18964.52602739727,52284.86575342464,17680.364383561642,74,222,347,18498.827397260276,55995.589041095904,87649.38082191774,63715.0,61113.0,1715.0,1893.0,1869.0,112986.0,111162.0,3494.0,3526.0,3527.0
2555,1000,0.020219666606396215,0.0010921996067826754,1,0,356,643,25.783240285285324,24.951975377726367,2,36,190,390,130,118,35,99,357,643,667475.0460629549,911509.8736023122,89243.36164383565,162284.75616438346,76,209,72,19067.931506849316,52268.00547945201,17907.424657534248,74,222,347,18682.56438356165,55697.58082191782,87904.61095890412,63867.0,60756.0,1785.0,1991.0,1906.0,112981.0,111146.0,3391.0,3524.0,3653.0
2920,1000,0.004675683198199205,0.000390402361990245,0,0,357,643,25.596144567550567,24.83393141074321,2,37,199,410,127,100,29,96,357,643,667639.6126324137,911280.9699346147,89289.26301369861,161351.32876712337,76,209,72,19024.635616438354,52333.747945205454,17930.87945205479,74,222,347,18321.706849315062,55763.77808219176,87265.84383561646,63122.0,61712.0,1863.0,1721.0,1887.0,114195.0,109993.0,3486.0,3444.0,3577.0
3285,1000,0.001012239912759819,0.00025460002458552265,0,0,357,643,25.457896572316578,24.726240183096238,1,39,206,416,121,97,29,91,357,643,666109.5372135531,911115.6615290991,88480.99178082199,162091.1452054794,76,209,72,19064.98082191781,51841.07671232872,17574.934246575336,74,222,347,18586.742465753417,55697.13424657534,87807.26849315067,63502.0,61553.0,1859.0,1698.0,1693.0,113258.0,110814.0,3653.0,3491.0,3479.0
3650,1000,0.00101269733004756,0.00011677794358986668,0,0,357,643,25.318188000940125,24.623044151481086,1,39,215,419,117,99,24,86,357,643,666075.8885759633,911693.3718251353,89078.10410958907,161798.30136986304,76,209,72,19005.424657534244,52387.81917808224,17684.860273972605,74,222,347,18745.457534246572,55844.80273972602,87208.04109589042,63289.0,61709.0,1777.0,1737.0,1793.0,113262.0,111032.0,3462.0,3558.0,3381.0
