tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734676.0231289271,988873.6071042398,156857.11780821928,239349.79726027386,76,209,72,27694.942465753422,93092.03561643834,36070.13972602738,74,222,347,24401.263013698634,75811.68493150684,139136.84931506854,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.3060730539482386,1.248264422331579,46,66,311,577,27.246566671412076,25.798699284672946,1,37,115,332,151,148,90,126,357,643,712756.004408715,971033.4256823324,134100.08219178094,222014.16164383525,76,209,72,34250.586301369854,72859.33424657534,26990.161643835607,74,222,347,20941.5205479452,73650.79178082189,127421.84931506854,51413.0,51211.0,2419.0,12470.0,12792.0,97456.0,97416.0,3730.0,17768.0,18325.0
730,1000,1.1047200051147539,0.947387292738931,38,51,319,592,27.140573645111882,25.71771488523587,1,38,127,340,141,140,88,125,357,643,702174.4277749553,961154.6223401898,124942.50684931513,211227.61917808204,76,209,72,31676.312328767126,67706.34794520549,25559.846575342464,74,222,347,20255.841095890417,70552.61095890406,120419.16712328774,53951.0,53072.0,2285.0,10709.0,10288.0,100936.0,98954.0,3489.0,15805.0,15511.0
1095,1000,0.8656085751042367,0.7178670684879297,28,38,329,605,27.103524886205896,25.61051104229838,1,38,135,350,133,139,88,116,357,643,696057.4096037463,949223.186689452,119001.65205479442,199403.20273972597,76,209,72,30178.704109589056,64857.312328767126,23965.63561643836,74,222,347,19245.326027397266,67864.99726027399,112292.87945205472,55646.0,54325.0,2253.0,9030.0,9051.0,104013.0,101760.0,3379.0,12889.0,12654.0
1460,1000,0.6722771247900922,0.51829040322323,18,21,339,622,26.98337430181963,25.51198063080305,1,36,149,356,127,139,80,112,357,643,690094.5214102786,936385.9174105672,112406.64383561646,186682.61095890394,76,209,72,27846.676712328757,62208.64383561643,22351.323287671225,74,222,347,18932.660273972604,63946.526027397296,103803.4246575342,57004.0,56320.0,2341.0,7400.0,7240.0,107709.0,104123.0,3619.0,9616.0,9628.0
1825,1000,0.5601074760289825,0.4101745235507519,14,14,343,629,26.875079947454076,25.40453738891906,1,36,152,365,126,135,78,107,357,643,683213.3469026699,927165.635204351,106307.04657534247,177735.28767123274,76,209,72,24218.473972602744,60699.85479452054,21388.717808219175,74,222,347,18895.09863013698,61921.77534246576,96918.41369863006,58582.0,57640.0,2422.0,5814.0,5847.0,109283.0,106965.0,3670.0,7536.0,7241.0
2190,1000,0.4429063857952731,0.34205768821993693,11,13,346,630,26.75568281017147,25.29390504572439,1,37,155,380,131,119,70,107,357,643,681603.9108175363,923000.564845847,103746.58630136993,173237.45753424653,76,209,72,23311.454794520545,59623.78630136983,20811.34520547946,74,222,347,18939.199999999997,59454.27397260272,94843.98356164382,59110.0,58402.0,2509.0,5165.0,5119.0,110497.0,108094.0,3634.0,6172.0,6298.0
2555,1000,0.40952233988627373,0.27209523657885054,10,10,347,633,26.592881265847677,25.19834085455962,1,34,167,390,127,115,62,104,357,643,677357.3234541712,920555.0433381945,100669.08493150682,172179.35616438373,76,209,72,22579.08767123287,57840.13424657537,20249.863013698636,74,222,347,18939.608219178077,59555.83835616437,93683.90958904111,60175.0,58813.0,2346.0,4517.0,4454.0,110970.0,108057.0,3676.0,6034.0,5958.0
2920,1000,0.37184712908667167,0.22276956969378806,10,10,347,633,26.44947142072138,25.113407020725425,1,33,176,395,124,112,56,103,357,643,678255.3817904977,921427.3933892611,100860.33698630135,171187.4657534247,76,209,72,22811.71780821917,57670.1424657534,20378.476712328775,74,222,347,18958.038356164383,58710.57534246576,93518.85205479448,59930.0,59088.0,2329.0,4421.0,4537.0,111295.0,108186.0,3633.0,5779.0,5802.0
3285,1000,0.33849237282495354,0.19100045358311765,9,9,348,634,26.336423310952288,25.009524309353175,1,34,176,406,131,107,49,96,357,643,677241.7947668887,920253.9138188947,99822.9232876713,171491.4602739726,76,209,72,22543.684931506847,56889.94794520545,20389.29041095891,74,222,347,19661.2301369863,58476.20821917807,93354.02191780823,60602.0,58726.0,2464.0,4128.0,4385.0,110845.0,108586.0,3754.0,5748.0,5762.0
3650,1000,0.28986960679710844,0.15959811064168633,8,7,349,636,26.22399378188814,24.906481526591364,1,35,179,409,129,105,48,94,357,643,678049.1154704764,919032.6333096789,99727.67945205476,169505.40821917815,76,209,72,21860.64931506849,57582.11506849317,20284.91506849315,74,222,347,19441.043835616438,58214.7835616438,91849.58082191776,60301.0,59132.0,2385.0,4238.0,4249.0,111682.0,108584.0,3625.0,5363.0,5441.0
