tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734854.2797616019,988196.5826295225,156918.80273972606,239409.8082191782,76,209,72,27744.91506849314,93088.706849315,36085.18082191782,74,222,347,24502.821917808218,75832.605479452,139074.38082191788,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.6279477281047054,0.6583847270315184,23,33,334,610,27.062761479094338,25.78803159826719,1,37,130,334,144,147,82,125,357,643,700649.2853142967,979354.5065674636,122593.08493150678,230327.0575342464,76,209,72,29625.460273972603,68109.32876712325,24858.29589041095,74,222,347,23121.063013698626,77097.00000000003,130108.99452054793,54185.0,54358.0,1927.0,9818.0,10017.0,94162.0,94456.0,8389.0,18766.0,18922.0
730,1000,0.2981668350597413,0.2878940526866444,10,13,347,630,26.709802601558327,25.641438633699998,1,35,144,346,140,142,72,120,357,643,678973.5277503505,957894.9395284886,101364.97534246586,207546.49315068504,76,209,72,24023.487671232862,57486.59178082192,19854.895890410957,74,222,347,22237.35890410959,70945.9863013699,114363.14794520539,60122.0,58758.0,1830.0,4836.0,4759.0,99854.0,99817.0,8780.0,13080.0,13164.0
1095,1000,0.15079015768183893,0.12421746680725028,3,6,354,637,26.446513442910934,25.55134010479223,1,36,161,357,137,132,58,118,357,643,671425.6873206357,945770.5186343547,94890.25753424654,196827.3178082193,76,209,72,22108.402739726032,53960.51232876711,18821.342465753423,74,222,347,21752.838356164382,67766.91780821914,107307.56164383565,61605.0,60452.0,1981.0,3140.0,3127.0,102503.0,102396.0,8881.0,10456.0,10459.0
1460,1000,0.08212303882378325,0.05837691722765513,3,2,354,641,26.206347294808523,25.408189133138915,1,38,167,371,134,127,55,107,357,643,671974.4401077991,943662.7604865977,93605.33972602747,194099.73698630155,76,209,72,21330.506849315072,54044.09589041094,18230.736986301366,74,222,347,21866.915068493156,66881.32602739723,105351.49589041097,61876.0,60847.0,1904.0,2828.0,2850.0,103056.0,103108.0,9027.0,9900.0,9604.0
1825,1000,0.04948122887412042,0.027798293431596306,2,1,355,642,25.936901886675322,25.2796534030807,1,36,183,381,132,123,41,103,357,643,669678.1377593065,943128.6532518674,91976.1424657534,192942.85479452048,76,209,72,20281.046575342465,53565.87945205478,18129.216438356165,74,222,347,22014.684931506843,65980.69041095891,104947.47945205487,62713.0,60528.0,2120.0,2479.0,2465.0,103394.0,103432.0,9137.0,9184.0,9548.0
2190,1000,0.01539458421957807,0.012117209472913245,0,0,357,643,25.72436849463905,25.155595105182183,1,35,187,390,134,120,35,98,357,643,668486.8344998042,942475.1363502336,91330.68493150677,192430.29589041095,76,209,72,19743.734246575343,53316.12328767123,18270.82739726027,74,222,347,22124.6602739726,65435.405479452056,104870.2301369863,62417.0,61300.0,2159.0,2133.0,2296.0,103254.0,103955.0,9107.0,9103.0,9276.0
2555,1000,0.01483804189310104,0.007706419807870349,0,0,357,643,25.5071229712804,25.031108943261348,1,35,207,405,120,114,29,89,357,643,668262.2089985266,940718.4774013257,90776.03013698629,191827.504109589,76,209,72,19552.47671232878,52993.95342465751,18229.59999999999,74,222,347,22048.40273972603,65504.28767123285,104274.8136986301,62799.0,61201.0,2083.0,2066.0,2156.0,103745.0,103611.0,9029.0,9102.0,9208.0
2920,1000,0.007339490294988774,0.0010675995585546253,0,0,357,643,25.346635108825524,24.91983825777955,1,34,215,413,116,113,25,83,357,643,667573.8819206702,941586.2057902585,90097.9753424657,191933.89315068503,76,209,72,19371.890410958895,52628.194520547935,18097.890410958895,74,222,347,22139.712328767124,65576.11780821918,104218.06301369869,63131.0,60992.0,2124.0,2022.0,2036.0,103695.0,103417.0,9360.0,8996.0,9227.0
3285,1000,0.0019505642010864605,0.0012502715676688376,0,0,357,643,25.224046520670143,24.825679487433558,1,33,227,425,108,108,21,77,357,643,669210.0175217466,942253.5216922016,90831.75068493153,191999.89589041087,76,209,72,19577.898630136988,53088.632876712305,18165.2191780822,74,222,347,22022.208219178086,65613.76712328767,104363.9205479453,62662.0,61241.0,2244.0,2017.0,2141.0,103691.0,103388.0,9199.0,9340.0,9077.0
3650,1000,0.002799932634320078,0.0015061338352773137,0,0,357,643,25.079283611799653,24.750890585308397,1,35,242,427,94,105,20,76,357,643,668374.5703780417,942377.9539550565,90334.23013698634,192421.09589041097,76,209,72,19265.419178082193,52878.23561643836,18190.57534246576,74,222,347,21974.413698630135,65706.67945205478,104740.00273972606,63057.0,61042.0,2154.0,1979.0,2073.0,103270.0,103806.0,9230.0,9112.0,9277.0
