tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.619047619047619,1.6376360808709176,58,77,299,566,27.296027549320637,25.857217544684676,1,34,107,336,159,143,90,130,357,643,734630.482161487,988963.5583591833,156964.60547945206,239276.0630136988,76,209,72,27730.67397260275,93132.52876712332,36101.40273972602,74,222,347,24446.726027397264,75821.81095890407,139007.52602739734,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,0.47563688059680714,0.35192098901158003,12,14,345,629,27.162256561987725,25.7471274882707,1,35,118,342,157,138,81,128,357,643,698750.3831857651,951251.3485425377,121275.1397260274,202224.789041096,76,209,72,29829.967123287664,66909.63287671233,24535.539726027397,74,222,347,21750.2904109589,68305.70410958903,112168.79452054785,54658.0,53969.0,3054.0,9264.0,9360.0,101617.0,102128.0,5838.0,12582.0,12530.0
730,1000,0.06627802261099996,0.08292414545332803,0,1,357,642,26.95021010678424,25.60228480825387,1,36,129,352,154,131,73,124,357,643,675300.2476743223,927917.2161021126,98585.67945205489,178733.90684931495,76,209,72,21912.20273972603,57020.07671232877,19653.40000000001,74,222,347,20145.087671232883,61262.14520547945,97326.67397260274,60146.0,59716.0,3030.0,3703.0,3710.0,108099.0,107005.0,5606.0,7054.0,6931.0
1095,1000,0.03129147994840416,0.04069701650755095,0,1,357,642,26.743867187416782,25.44762713306475,2,36,146,360,141,129,68,118,357,643,673144.1698712636,923803.0138029738,96436.2904109589,173756.10958904104,76,209,72,20670.48219178082,56178.52328767123,19587.28493150685,74,222,347,19738.852054794515,59640.32876712324,94376.92876712329,60872.0,59970.0,3042.0,3178.0,3243.0,109359.0,108132.0,5726.0,5822.0,5656.0
1460,1000,0.014795019150322958,0.01716947202953302,0,0,357,643,26.540998302043732,25.29355630800479,2,37,157,361,138,136,60,109,357,643,673739.1808745083,924056.5158318895,96152.79178082192,174125.33972602742,76,209,72,20622.34520547945,56356.898630136995,19173.54794520548,74,222,347,19734.446575342467,59275.457534246605,95115.43561643835,60783.0,60205.0,3077.0,3071.0,3169.0,109425.0,107843.0,5833.0,5855.0,5739.0
1825,1000,0.008443958023165596,0.0038085643799265255,0,0,357,643,26.33368044593435,25.14595176081139,2,36,167,387,133,116,55,104,357,643,673708.5925116464,923968.0388651962,95925.32328767118,174279.08493150707,76,209,72,20735.578082191783,56057.26575342466,19132.479452054795,74,222,347,20052.58356164384,59391.38356164384,94835.11780821918,60905.0,60199.0,3000.0,3034.0,3167.0,109278.0,108104.0,5616.0,5817.0,5880.0
2190,1000,0.007963579599488468,0.001887697960927019,0,0,357,643,26.170294200363283,25.031784960582453,2,37,173,393,134,115,48,98,357,643,673779.7330250151,923799.914956831,95998.36438356162,173942.9013698629,76,209,72,20694.852054794515,56120.4191780822,19183.09315068493,74,222,347,19834.087671232875,59305.95616438358,94802.85753424662,60965.0,60019.0,3040.0,3153.0,3128.0,109312.0,108137.0,5794.0,5650.0,5802.0
2555,1000,0.0016018285913729545,0.0013444148293755365,0,0,357,643,26.000381053824995,24.928801910066195,2,37,180,406,129,107,46,93,357,643,673576.1660489816,923286.7700449416,96188.26027397257,174220.37260273958,76,209,72,20765.619178082194,56342.3671232877,19080.273972602736,74,222,347,20176.28219178083,59618.38356164382,94425.70684931507,61233.0,59698.0,3020.0,3122.0,3232.0,109356.0,107965.0,5688.0,5885.0,5801.0
2920,1000,0.00047414230470509,0.0007636382454296522,0,0,357,643,25.818551853652362,24.829244164192556,2,36,187,408,129,108,39,91,357,643,673356.3132106323,924228.994184296,95941.46849315075,174157.75068493155,76,209,72,20553.364383561642,56240.09041095891,19148.01369863014,74,222,347,20053.38082191781,59550.71780821918,94553.65205479455,61299.0,59711.0,3081.0,3027.0,3187.0,109385.0,108152.0,5595.0,5640.0,5923.0
3285,1000,7.811926099981791e-05,0.0005901641093599192,0,0,357,643,25.664039448241933,24.723608568107856,1,35,200,416,121,109,35,83,357,643,673617.6913727383,924244.3325731802,95920.29863013695,173958.8657534247,76,209,72,20486.94520547946,56274.84383561645,19158.509589041092,74,222,347,19760.747945205483,59600.819178082194,94597.29863013707,61052.0,59902.0,3153.0,3098.0,3100.0,109368.0,108166.0,5600.0,5676.0,5885.0
3650,1000,0.00013098915449978534,4.845357043962368e-05,0,0,357,643,25.56960635654603,24.62745853743693,1,35,205,421,115,109,36,78,357,643,673042.3072667471,923504.069886477,96224.78630136982,174192.06027397283,76,209,72,20615.131506849328,56536.93698630137,19072.717808219182,74,222,347,19944.498630136983,59941.999999999985,94305.5616438355,61131.0,59711.0,3114.0,3097.0,3252.0,109000.0,108360.0,5826.0,5809.0,5700.0
