"GLondon","Sheffield","Manchester"
788.726252850396,56.914604077578,53.6701169665135
2234.62555711806,210.434693590114,109.598270559528
558.594781153261,82.034014975719,42.4047568607389
838.984084738006,63.8542493217878,30.0186275784585
386.771513911701,58.9251152957944,41.0302224123929
286.179231563687,26.6336176690151,28.8589846430949
5152.22871711496,455.338481079876,228.659087885959
5152.22871711496,455.338481079876,228.659087885959
5152.22871711496,455.338481079876,228.659087885959
4958.51294778921,427.405417109685,475.725172902133
1149.62771897398,80.0483686941817,42.8106886423202
5365.68805460629,916.964367743226,757.649651913967
421.864861653177,38.7478428528192,47.3651246168031
4217.57476207164,449.79693655019,148.225061255685
3984.46828676676,515.717726504084,179.368715516358
127.307322148437,5.5811181313677,15.0534823437594
5913.59170439205,1176.92052241696,924.145944432396
4543.52712499405,278.006559255781,208.990311486096
209.961338683642,14.619180108663,16.3114359547377
5365.68805460629,916.964367743226,757.649651913967
4543.52712499405,278.006559255781,208.990311486096
832.846231070232,116.243842072401,28.9703442938542
4543.52712499405,278.006559255781,208.990311486096
5220.45477561967,474.018404531413,254.420478649943
700.880541153336,56.0016510762832,82.2055080266311
3801.05900939727,381.693353951463,153.423475726264
10.6006014199906,1.34098990059408,0.712500761328706
201.220230217108,6.08387895457331,10.1407463499025
16.2499341044427,1.1465958606213,0.517727546674212
2742.23873148526,185.088760816757,210.100243224409
1017.59835630772,151.121251206969,74.996112302255
2271.58490052352,140.150432476271,169.826580846265
5365.68805460629,916.964367743226,757.649651913967
34.8632381672524,2.52296592937267,2.17687074659458
700.880541153336,56.0016510762832,82.2055080266311
209.961338683642,14.619180108663,16.3114359547377
1206.03181694583,89.1608475631875,107.387336147469
5365.68805460629,916.964367743226,757.649651913967
12531.6576450308,501.244247777313,856.366178661282
209.961338683642,14.619180108663,16.3114359547377
838.984084738006,63.8542493217878,30.0186275784585
1149.62771897398,80.0483686941817,42.8106886423202
3321.22177544524,369.88197928649,157.693383734412
3321.22177544524,369.88197928649,157.693383734412
558.594781153261,82.034014975719,42.4047568607389
700.880541153336,56.0016510762832,82.2055080266311
209.961338683642,14.619180108663,16.3114359547377
1642.36520509058,315.643096475357,119.016212429677
788.726252850396,56.914604077578,53.6701169665135
527.716079447519,56.5247036783874,24.8068986510682
15.1847980410645,1.43990415575072,1.07837833273651
558.594781153261,82.034014975719,42.4047568607389
558.594781153261,82.034014975719,42.4047568607389
534.121621652508,100.839379019852,41.9660486637773
286.986187601694,34.9491007760007,9.54645022298166
1383.48194645616,76.0010241234777,62.2373351079136
534.121621652508,100.839379019852,41.9660486637773
673.391578189589,76.051038502898,27.5960390815683
1317.99768980315,201.036058825097,153.905671316823
9881.87488120014,749.295893539228,424.052307615429
859.060501522688,108.028070774526,62.4844982594432
263.203137507451,27.5247058167111,20.7125580049993
3905.78326165656,286.787629268593,156.583078352921
926.64589037619,147.580389874123,70.9510370775272
263.203137507451,27.5247058167111,20.7125580049993
10.6006014199906,1.34098990059408,0.712500761328706
1825.95927872821,256.650668739078,243.287881980132
1446.72894945075,116.473136791076,100.553718207533
926.64589037619,147.580389874123,70.9510370775272
4958.51294778921,427.405417109685,475.725172902133
1048.79102621523,144.333847186562,106.648750848449
14608.5259716548,3042.72403784216,1180.88307095169
19260.4024681711,1050.95023709556,1110.63422675468
456.736338980561,40.1860704923982,19.0659529753131
72.3607615308841,7.00768884473897,2.88319816483029
4217.57476207164,449.79693655019,148.225061255685
2234.62555711806,210.434693590114,109.598270559528
286.986187601694,34.9491007760007,9.54645022298166
838.984084738006,63.8542493217878,30.0186275784585
32299.5000237314,4486.25446291958,2677.47866695589
15.1847980410645,1.43990415575072,1.07837833273651
3934.58259404877,417.911431930668,162.282528465724
209.961338683642,14.619180108663,16.3114359547377
700.880541153336,56.0016510762832,82.2055080266311
966.943089018286,111.202338350111,102.804334148874
4.77555716080582,0.489274629651838,0.410159987503367
838.984084738006,63.8542493217878,30.0186275784585
286.986187601694,34.9491007760007,9.54645022298166
1206.03181694583,89.1608475631875,107.387336147469
421.864861653177,38.7478428528192,47.3651246168031
4217.57476207164,449.79693655019,148.225061255685
1206.03181694583,89.1608475631875,107.387336147469
3905.78326165656,286.787629268593,156.583078352921
688.502610344492,42.91842725368,46.5937281919566
1809.67989117279,280.656877905488,144.536996935342
1048.79102621523,144.333847186562,106.648750848449
1809.67989117279,280.656877905488,144.536996935342
3264.65742634023,374.118754552601,115.107748991382
34.8632381672524,2.52296592937267,2.17687074659458
209.961338683642,14.619180108663,16.3114359547377
386.771513911701,58.9251152957944,41.0302224123929
1588.76436093739,159.7650508838,163.847066131877
7867.79634858372,333.459713286637,384.539276220105
421.864861653177,38.7478428528192,47.3651246168031
700.880541153336,56.0016510762832,82.2055080266311
1588.76436093739,159.7650508838,163.847066131877
838.984084738006,63.8542493217878,30.0186275784585
1797.58739249688,181.6005119978,101.05798015198
1048.79102621523,144.333847186562,106.648750848449
57488.3184451768,9158.55188551117,4254.27000457076
788.726252850396,56.914604077578,53.6701169665135
1149.62771897398,80.0483686941817,42.8106886423202
838.984084738006,63.8542493217878,30.0186275784585
72.3607615308841,7.00768884473897,2.88319816483029
5365.68805460629,916.964367743226,757.649651913967
673.391578189589,76.051038502898,27.5960390815683
60.7054870971037,4.81767481855642,5.19289212984664
1048.79102621523,144.333847186562,106.648750848449
5220.45477561967,474.018404531413,254.420478649943
10.6006014199906,1.34098990059408,0.712500761328706
674.533418865228,95.4253521408104,62.1179599527358
8426.42284297461,445.942714426955,497.346675177587
421.864861653177,38.7478428528192,47.3651246168031
