tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,733538.2436109901,988109.4304796492,156876.6109589041,239467.92602739725,76,209,72,27693.50684931506,93102.07123287674,36081.032876712336,74,222,347,24435.6794520548,75871.04657534244,139161.19999999978,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5356777159213209,146,854,37,468,250,245,357,643,709189.3605189833,963975.5005498953,131534.57260273973,214253.20273972597,76,209,72,35510.30136986302,69985.07671232875,26039.194520547946,74,222,347,19130.873972602738,71557.88219178082,123564.44657534247,52531.0,52089.0,784.0,12428.0,12473.0,99971.0,99751.0,1295.0,16708.0,16970.0
730,1000,1.511382727254397,142,858,43,454,245,258,357,643,709088.6214825874,959955.8945667513,131741.21369863013,210828.1561643835,76,209,72,36003.232876712325,69738.45753424658,25999.523287671233,74,222,347,19160.975342465754,72792.41917808221,118874.76164383559,52310.0,52262.0,742.0,12483.0,12508.0,101161.0,100299.0,1175.0,16072.0,15988.0
1095,1000,1.5108286409665423,143,857,43,474,220,263,357,643,709261.0140268273,959449.9213988811,132000.43835616444,209862.0356164382,76,209,72,36287.547945205486,69726.23835616444,25986.652054794522,74,222,347,19593.024657534243,73417.65753424655,116851.35342465746,52330.0,52055.0,722.0,12553.0,12645.0,101223.0,100657.0,1150.0,15935.0,15730.0
1460,1000,1.5545604818886687,142,858,43,493,191,273,357,643,708372.3184256842,958931.2053446923,131420.09589041094,209780.04657534268,76,209,72,35311.50136986302,70134.57260273973,25974.021917808222,74,222,347,20530.183561643837,74251.95616438352,114997.90684931507,52748.0,51750.0,757.0,12653.0,12397.0,101309.0,100720.0,1053.0,15722.0,15891.0
1825,1000,1.5868410226082463,143,857,43,494,187,276,357,643,709375.4619329936,959214.31299062,131601.75068493164,210105.8520547946,76,209,72,35062.142465753415,70604.70958904109,25934.898630137,74,222,347,20516.463013698623,74582.6547945205,115006.73424657535,52351.0,52388.0,715.0,12383.0,12468.0,101039.0,100828.0,1070.0,15958.0,15800.0
2190,1000,1.6343905098219649,144,856,40,513,176,271,357,643,709303.8254990039,959448.087770615,132265.994520548,210528.75890410953,76,209,72,35029.884931506844,71257.93150684929,25978.17808219178,74,222,347,20506.295890410962,75028.55890410955,114993.90410958906,52160.0,52117.0,783.0,12446.0,12799.0,101310.0,100196.0,1038.0,16092.0,16059.0
2555,1000,1.6640619844050626,145,855,44,512,183,261,357,643,710952.2207397098,959383.7911039612,133280.97808219178,209665.6547945204,76,209,72,34925.5205479452,72474.49863013707,25880.958904109597,74,222,347,20709.989041095883,74207.07945205481,114748.58630136987,52032.0,51716.0,728.0,12849.0,12980.0,101521.0,100435.0,1023.0,15936.0,15780.0
