tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,735503.5868686426,988941.4873344724,156978.31780821914,239503.501369863,76,209,72,27725.090410958906,93146.3726027397,36106.85479452054,74,222,347,24466.978082191785,75924.46849315066,139112.05479452052,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5515258004939063,144,856,38,453,267,242,357,643,743868.4399805982,1036295.4903198021,166553.07945205487,286764.5671232879,76,209,72,39883.56438356164,92942.28493150685,33727.2301369863,74,222,347,30321.55068493151,96695.13972602747,159747.8767123287,42023.0,41736.0,8424.0,18970.0,19152.0,78595.0,78409.0,16446.0,30605.0,30640.0
730,1000,1.5225269762401237,142,858,41,446,243,270,357,643,742747.693679056,1033897.7559830815,165139.1890410957,283958.12328767095,76,209,72,40250.37260273974,91997.38904109584,32891.42739726028,74,222,347,30470.8493150685,96635.21369863019,156852.06027397263,42982.0,41293.0,8319.0,18847.0,18864.0,79732.0,78467.0,16085.0,30544.0,29867.0
1095,1000,1.5337821668628533,144,856,40,436,228,296,357,643,743340.7868969794,1033266.601965762,165385.52602739725,283975.5068493152,76,209,72,40038.58082191781,92623.68767123288,32723.257534246586,74,222,347,31011.01095890411,97421.63835616439,155542.85753424658,42760.0,41565.0,8088.0,19087.0,18805.0,80094.0,78426.0,15226.0,30488.0,30461.0
1460,1000,1.5603488491003359,146,854,38,425,229,308,357,643,743301.3029191105,1034502.7359946263,165983.68219178054,284775.67945205455,76,209,72,39678.27123287671,93343.06575342469,32962.34520547946,74,222,347,30971.717808219186,98450.69315068492,155353.2684931506,42493.0,41626.0,7935.0,19603.0,18648.0,79786.0,78535.0,15103.0,30748.0,30523.0
1825,1000,1.5805115947788908,151,849,38,428,208,326,357,643,744674.6055922109,1034121.4309359555,166910.16164383554,284397.90958904126,76,209,72,39681.05205479452,93910.64657534244,33318.46301369863,74,222,347,31775.786301369866,99142.19726027396,153479.92602739733,42183.0,41586.0,7758.0,19542.0,19236.0,79792.0,78571.0,15270.0,30567.0,30495.0
2190,1000,1.6306810392659097,150,850,38,422,218,322,357,643,744700.3344791526,1034252.4676660644,167704.2465753424,284947.7260273973,76,209,72,39716.7205479452,94462.93424657531,33524.59178082191,74,222,347,32853.97260273973,99183.14520547946,152910.6082191782,42143.0,41394.0,7440.0,19599.0,19729.0,79988.0,78223.0,14856.0,31057.0,30571.0
2555,1000,1.6730086805871762,156,844,34,434,193,339,357,643,745779.3245086734,1035555.5848526261,168221.76986301353,286036.8684931503,76,209,72,39923.920547945214,94866.3863013698,33431.46301369863,74,222,347,33981.07123287669,100689.2821917808,151366.51506849314,42066.0,41161.0,7592.0,19808.0,19678.0,79600.0,78130.0,14782.0,31453.0,30730.0
