tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734709.1566077007,988372.0642839702,156844.17260273965,239359.0904109592,76,209,72,27666.65205479452,93078.84109589043,36098.67945205479,74,222,347,24455.693150684925,75776.90684931511,139126.4904109589,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.474734555804164,143,857,47,461,268,224,357,643,748805.227364915,1036065.7268010655,170511.9698630136,286594.3041095893,76,209,72,41639.802739726045,94248.66027397264,34623.506849315076,74,222,347,29569.339726027392,96567.42465753424,160457.53972602737,40926.0,40736.0,8897.0,19745.0,20001.0,78547.0,78866.0,15942.0,30475.0,30865.0
730,1000,1.365782844572559,132,868,45,490,224,241,357,643,747493.8995936671,1032836.8927920028,169665.29315068488,283337.8410958904,76,209,72,41590.07123287671,93414.51506849319,34660.70684931507,74,222,347,29635.290410958893,96660.87671232877,157041.67397260267,41312.0,40726.0,8777.0,19742.0,19748.0,79466.0,79377.0,16077.0,29762.0,30013.0
1095,1000,1.3137307506405125,129,871,52,505,210,233,357,643,747724.2554533018,1029532.3499280582,170242.11506849306,279924.8000000001,76,209,72,41777.871232876714,93935.21643835609,34529.02739726029,74,222,347,31003.813698630147,96216.8410958904,152704.14520547946,41190.0,40528.0,8844.0,19965.0,19778.0,80050.0,80501.0,16181.0,28884.0,29079.0
1460,1000,1.296890420065327,126,874,49,525,176,250,357,643,747828.0046875441,1026537.1192950337,169829.87671232878,277534.82191780827,76,209,72,41489.484931506835,93736.09041095892,34604.30136986302,74,222,347,31799.413698630127,97034.42191780821,148700.9863013698,40983.0,41105.0,8621.0,20003.0,19593.0,80859.0,80801.0,16077.0,28766.0,28192.0
1825,1000,1.3002015240882725,123,877,46,525,171,258,357,643,746848.8508416815,1024534.5296519533,169437.78082191784,274285.49041095877,76,209,72,40858.78082191781,94704.23835616447,33874.761643835605,74,222,347,33176.07123287671,96533.35890410954,144576.06027397263,41061.0,41120.0,8995.0,19458.0,19671.0,81986.0,81140.0,16096.0,27735.0,27738.0
2190,1000,1.3246628425776728,121,879,50,536,160,254,357,643,745791.5580203168,1022174.882840214,168217.10958904115,273042.59178082173,76,209,72,40205.96164383561,94210.08493150686,33801.063013698615,74,222,347,33963.1095890411,97594.31506849316,141485.16712328754,41471.0,41345.0,8868.0,19165.0,19456.0,82172.0,81707.0,15885.0,27457.0,27474.0
2555,1000,1.3453214026917966,123,877,52,531,166,251,357,643,745613.5649832151,1021666.7273626681,168070.76712328757,272884.2821917811,76,209,72,40103.77260273971,94342.24109589045,33624.75342465753,74,222,347,34495.27671232876,98421.8,139967.20547945207,41516.0,41396.0,8835.0,19209.0,19349.0,82321.0,81706.0,15709.0,27424.0,27535.0
