tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734446.7162444993,988728.8386215434,156999.49863013704,239188.3150684929,76,209,72,27785.810958904112,93123.90136986296,36089.78630136985,74,222,347,24435.394520547943,75728.49041095893,139024.43013698637,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.551834412763041,146,854,39,465,245,251,357,643,709269.8764371433,962642.3688716714,132675.73698630137,212988.23287671225,76,209,72,36060.03835616438,69898.81643835617,26716.882191780816,74,222,347,19811.780821917815,71678.41095890413,121498.0410958904,52053.0,52164.0,512.0,12884.0,12692.0,100111.0,100168.0,1327.0,16925.0,16164.0
730,1000,1.5853512175650708,150,850,42,491,206,261,357,643,709039.748011207,960557.9474330674,131934.97534246577,210812.523287671,76,209,72,36152.917808219165,69453.99999999997,26328.057534246578,74,222,347,21010.794520547945,74049.33698630138,115752.39178082197,53578.0,50510.0,377.0,12927.0,12913.0,102921.0,97710.0,1137.0,16522.0,16405.0
1095,1000,1.6651849721774803,158,842,40,487,197,276,357,643,710537.4601304528,965442.0648449577,132718.38630136973,215892.61095890385,76,209,72,35406.65753424657,70745.14794520546,26566.580821917803,74,222,347,23974.605479452053,76469.79178082189,115448.21369863009,53349.0,50396.0,339.0,13149.0,13072.0,101307.0,96801.0,1113.0,18233.0,17241.0
1460,1000,1.7768775012288494,163,837,44,497,188,271,357,643,710857.8655102733,968934.39107175,133742.68493150687,219487.56712328765,76,209,72,35212.69041095892,71585.50684931512,26944.48767123286,74,222,347,26891.81369863014,78291.26849315064,114304.48493150693,52857.0,50335.0,367.0,13786.0,12960.0,100672.0,95628.0,990.0,19391.0,18014.0
1825,1000,1.8728780225216133,167,833,48,519,156,277,357,643,710744.8379877757,970003.4273143401,133449.1150684931,221688.18356164376,76,209,72,34887.460273972596,71566.49589041094,26995.158904109583,74,222,347,27994.041095890407,79242.7452054795,114451.39726027392,52750.0,50695.0,316.0,13614.0,12930.0,100026.0,95393.0,955.0,19447.0,18874.0
2190,1000,1.9374896729241107,170,830,50,524,158,268,357,643,712435.6218521798,974121.3036877105,134217.46027397257,223719.6602739727,76,209,72,34804.29041095891,71453.1452054795,27960.024657534253,74,222,347,29843.641095890398,80667.12876712323,113208.8904109589,52904.0,50002.0,324.0,14111.0,12964.0,99537.0,94669.0,984.0,20376.0,19129.0
2555,1000,1.9901378411974655,170,830,48,549,148,255,357,643,712886.866628104,972544.2170969605,134649.73150684923,223441.76438356165,76,209,72,34479.50684931507,71721.12328767126,28449.101369863027,74,222,347,31337.92876712328,80149.4,111954.43561643828,52716.0,49938.0,372.0,14191.0,13088.0,99923.0,94278.0,944.0,20466.0,19084.0
