tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734790.2573292466,988626.8990144816,156936.4493150685,239545.90136986293,76,209,72,27681.23835616438,93132.04931506846,36123.161643835614,74,222,347,24451.397260273978,75878.08493150688,139216.41917808214,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5319112275490836,147,853,37,458,261,244,357,643,726621.71871805,1006576.635746174,149310.2904109589,258099.128767123,76,209,72,38111.69315068495,81301.63835616437,29896.958904109593,74,222,347,25431.898630136984,86158.60821917818,146508.62191780814,47675.0,46903.0,3110.0,16498.0,16119.0,87231.0,87293.0,9022.0,25417.0,25732.0
730,1000,1.5091306168379697,142,858,39,456,243,262,357,643,727269.453685783,1004395.865401745,149386.9945205479,254587.41643835633,76,209,72,38229.14794520547,81042.40273972599,30115.443835616436,74,222,347,26148.030136986297,87109.33698630141,141330.04931506864,48104.0,46341.0,2915.0,16721.0,16224.0,88971.0,86992.0,8778.0,25419.0,24535.0
1095,1000,1.5341386624063715,143,857,40,450,226,284,357,643,728272.0959227638,1002903.5357785599,150991.59726027402,253246.18082191783,76,209,72,38423.104109589054,82284.56986301373,30283.923287671227,74,222,347,26535.260273972606,89884.96438356162,136825.95616438342,47680.0,46066.0,2862.0,17228.0,16469.0,89374.0,87311.0,9001.0,24598.0,24411.0
1460,1000,1.5805751757109892,145,855,41,463,203,293,357,643,729420.4470241006,1000873.4970361427,151846.9753424656,252004.09589041077,76,209,72,38801.02739726028,82417.26301369866,30628.684931506847,74,222,347,26934.824657534245,89596.49863013701,135472.7726027395,48013.0,45161.0,2778.0,17288.0,17065.0,89594.0,87723.0,8691.0,24292.0,24395.0
1825,1000,1.6341219025210332,152,848,37,465,189,309,357,643,730710.8456733002,1003288.3871736089,152808.11506849312,254521.44109589013,76,209,72,38755.48493150684,83286.602739726,30766.027397260284,74,222,347,28324.93698630137,89833.73150684933,136362.7726027397,47596.0,45273.0,2710.0,17305.0,17421.0,88886.0,87234.0,8851.0,24993.0,24731.0
2190,1000,1.689747129888702,157,843,35,486,157,322,357,643,731835.5893549641,1009779.1012973925,153464.6657534245,260105.87671232873,76,209,72,38932.25753424659,83439.84383561644,31092.56438356164,74,222,347,32194.62191780822,90993.4602739726,136917.79452054796,47289.0,45230.0,2628.0,17839.0,17319.0,87445.0,86062.0,8611.0,26283.0,26294.0
2555,1000,1.7276972593027438,160,840,34,475,179,312,357,643,730656.8242357422,1011049.186976848,153508.27123287672,261749.94246575306,76,209,72,38805.35616438357,83500.24657534248,31202.66849315069,74,222,347,33062.465753424665,92194.37808219185,136493.09863013704,47255.0,45136.0,2744.0,17946.0,17224.0,87429.0,85078.0,8585.0,27036.0,26567.0
