tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734138.2631518379,988480.7552632564,156832.1808219178,239322.44109589054,76,209,72,27711.391780821916,93046.09041095889,36074.69863013699,74,222,347,24433.071232876715,75774.43835616438,139114.9315068493,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5308406334325988,144,856,41,453,260,246,357,643,711197.0467544508,965693.856786274,133251.95342465752,216404.9698630138,76,209,72,35642.19726027398,70887.3534246575,26722.40273972603,74,222,347,19893.68493150685,71567.78356164388,124943.50136986299,51817.0,51628.0,1561.0,12636.0,12663.0,99319.0,99092.0,2011.0,16898.0,17375.0
730,1000,1.4756269435624094,140,860,44,469,230,257,357,643,710195.9202227882,964802.4999158715,133242.0136986302,215540.65205479457,76,209,72,35816.96438356164,70906.96712328767,26518.082191780824,74,222,347,19834.978082191785,71043.36986301365,124662.30410958893,51864.0,51602.0,1371.0,12877.0,12591.0,99470.0,99627.0,1733.0,16916.0,16949.0
1095,1000,1.4438878412961453,136,864,47,472,228,253,357,643,709304.3090336685,963000.5747351653,132299.30410958905,213127.20273972608,76,209,72,35613.82191780822,70135.90684931504,26549.575342465756,74,222,347,19840.378082191775,70243.77534246571,123043.04931506852,52144.0,51793.0,1466.0,12455.0,12447.0,99921.0,100202.0,1758.0,16352.0,16462.0
1460,1000,1.433963411526808,137,863,44,498,195,263,357,643,711252.8935072508,961105.8954757898,133668.69589041095,211123.2575342467,76,209,72,36168.663013698635,71003.3041095891,26496.728767123284,74,222,347,19704.035616438363,71307.58356164384,120111.63835616443,51588.0,51817.0,1394.0,12702.0,12804.0,100877.0,99998.0,1801.0,16158.0,15861.0
1825,1000,1.4383853028876128,134,866,46,502,190,262,357,643,711407.8718016878,958490.2167893045,133654.6767123288,208802.58082191795,76,209,72,36187.95616438357,70851.2876712329,26615.432876712326,74,222,347,19695.70958904109,70959.22739726026,118147.64383561641,51496.0,51870.0,1383.0,12614.0,12942.0,101181.0,100880.0,1815.0,15655.0,15164.0
2190,1000,1.442468422924369,134,866,47,524,179,250,357,643,710708.9207190131,958494.4913304682,133087.86027397262,208709.6356164385,76,209,72,36163.52054794521,70497.56986301368,26426.7698630137,74,222,347,19490.66301369863,71215.89041095892,118003.0821917808,51759.0,51884.0,1312.0,12698.0,12652.0,101320.0,100744.0,1864.0,15333.0,15434.0
2555,1000,1.4701916503982857,134,866,47,530,176,247,357,643,710524.15591542,957545.5402945359,132685.898630137,208001.567123288,76,209,72,35962.46575342466,70266.80821917806,26456.62465753425,74,222,347,19662.224657534243,70670.23835616441,117669.10410958904,52282.0,51469.0,1301.0,12660.0,12593.0,101539.0,100982.0,1752.0,15080.0,15342.0
