tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,733935.8548589132,989034.1468895283,156880.29315068483,239378.42739726044,76,209,72,27695.08767123287,93098.38904109591,36086.81643835617,74,222,347,24402.17534246576,75889.45753424661,139086.79452054788,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5302428164496265,143,857,39,424,284,253,357,643,738667.2570227141,1037294.9359525861,161416.43287671226,287969.405479452,76,209,72,40549.08493150685,87850.5397260274,33016.80821917808,74,222,347,29230.786301369848,96410.06849315065,162328.5506849316,43572.0,43792.0,6329.0,18298.0,18314.0,78063.0,78387.0,16502.0,30685.0,31058.0
730,1000,1.4850346170274955,138,862,34,431,229,306,357,643,737456.7069000133,1037525.7394621508,159930.0520547945,287819.36164383555,76,209,72,40399.435616438364,86963.87671232875,32566.739726027397,74,222,347,29087.301369863017,97818.42739726031,160913.6328767123,44274.0,43746.0,6256.0,18040.0,17989.0,78124.0,78406.0,16432.0,30910.0,30823.0
1095,1000,1.4663064004573072,136,864,33,414,221,332,357,643,737610.051652986,1035208.0516186047,160166.0465753424,285362.71780821925,76,209,72,40826.97808219178,87186.03561643833,32153.032876712325,74,222,347,29051.61369863014,97831.07397260271,158480.0301369862,44203.0,43733.0,6253.0,18053.0,18063.0,78979.0,78666.0,16404.0,30312.0,30334.0
1460,1000,1.453014879451731,136,864,32,405,216,347,357,643,736288.1551415547,1033918.4376536908,159487.7753424657,284697.13972602744,76,209,72,39982.789041095886,87353.81917808215,32151.167123287676,74,222,347,29319.18630136987,98184.89863013699,157193.05479452037,44494.0,43686.0,6140.0,18086.0,17899.0,79011.0,79043.0,16393.0,30099.0,30149.0
1825,1000,1.4364380567752422,134,866,29,415,197,359,357,643,737333.9147964848,1031912.4179669598,159950.9835616439,282393.08219178085,76,209,72,39707.04383561644,87772.86575342462,32471.07397260274,74,222,347,29282.909589041094,97444.16164383569,155666.01095890408,44346.0,43569.0,6231.0,18163.0,17996.0,79532.0,79671.0,16425.0,29440.0,29627.0
2190,1000,1.4489529511512536,137,863,28,401,205,366,357,643,738818.3431305158,1031925.9633546767,160597.61369862995,282245.80821917823,76,209,72,39843.94520547946,88255.28767123287,32498.380821917814,74,222,347,29526.484931506846,96957.22739726034,155762.09589041097,44293.0,43327.0,6203.0,18285.0,18197.0,79567.0,79735.0,16165.0,29517.0,29711.0
2555,1000,1.471064613835191,139,861,27,389,207,377,357,643,737568.9035537896,1031129.7334806311,160712.50136986296,281916.42465753405,76,209,72,39810.60273972603,88498.3917808219,32403.506849315076,74,222,347,29961.616438356155,97602.73972602744,154352.0684931506,43866.0,43769.0,6105.0,18645.0,17920.0,80129.0,79210.0,15981.0,29685.0,29690.0
