tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734216.3046349095,988536.183088195,156967.46575342465,239338.99999999997,76,209,72,27696.413698630142,93207.75068493145,36063.30136986301,74,222,347,24491.578082191772,75799.99726027397,139047.42465753417,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5698688459990993,143,857,39,457,283,221,357,643,703294.638400712,953451.196801221,125917.67671232889,203502.34246575332,76,209,72,33956.76438356164,65904.18082191785,26056.73150684931,74,222,347,18147.035616438356,66246.91780821921,119108.38904109584,53850.0,53859.0,83.0,11175.0,11338.0,103806.0,101243.0,214.0,15136.0,14296.0
730,1000,1.5114989457105257,144,856,38,470,260,232,357,643,698229.6921089886,948682.0404816594,120883.01917808219,199538.48767123322,76,209,72,32955.36164383561,62483.323287671235,25444.334246575356,74,222,347,17636.846575342464,67342.84383561641,114558.79726027402,60180.0,47596.0,7.0,12916.0,9606.0,110822.0,93718.0,81.0,15685.0,14389.0
1095,1000,1.4678812623753517,142,858,42,480,244,234,357,643,697552.9562073272,943950.2696898886,119471.3917808219,195441.0082191781,76,209,72,33018.139726027395,61478.72876712323,24974.52328767124,74,222,347,17160.484931506846,67056.53972602739,111223.98356164385,62489.0,45240.0,7.0,12908.0,9661.0,115844.0,88886.0,81.0,16247.0,13637.0
1460,1000,1.4183063539032272,142,858,41,497,223,239,357,643,696272.1339790685,943863.6794537739,118535.23287671228,194162.94520547928,76,209,72,32902.46575342466,61211.005479452055,24421.761643835616,74,222,347,18036.884931506847,65924.98082191775,110201.07945205478,63525.0,44387.0,8.0,12475.0,9910.0,116730.0,88241.0,97.0,16474.0,13153.0
1825,1000,1.3766263990318188,136,864,44,498,204,254,357,643,697058.8025399152,943714.1692990384,119629.95890410966,193538.75068493135,76,209,72,33064.342465753434,61745.73698630135,24819.8794520548,74,222,347,18737.46301369863,65395.96164383557,109405.32602739731,61621.0,46297.0,4.0,12814.0,9569.0,114663.0,91468.0,94.0,16397.0,12073.0
2190,1000,1.3571091780441198,134,866,46,509,185,260,357,643,695546.7048234073,939404.8079615497,117457.59726027404,189996.6356164384,76,209,72,31867.816438356163,61288.08219178083,24301.698630136994,74,222,347,18717.01095890411,64228.58630136987,107051.03835616435,63251.0,44992.0,7.0,13681.0,8374.0,116942.0,90230.0,88.0,16352.0,11083.0
2555,1000,1.3506346204514736,134,866,45,520,179,256,357,643,695429.8877407245,939549.9681623974,117832.26575342461,189621.96164383568,76,209,72,31901.843835616448,61551.07945205481,24379.34246575343,74,222,347,18594.635616438358,64836.39726027398,106190.92876712323,63039.0,45236.0,5.0,13292.0,8733.0,117514.0,89621.0,82.0,16316.0,11162.0
