tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,733404.2221483757,988922.3763564653,156850.10958904115,239444.7945205478,76,209,72,27638.63835616438,93084.4657534246,36127.00547945206,74,222,347,24428.572602739732,75784.79726027398,139231.42465753414,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.563522734248164,144,856,41,459,280,220,357,643,714156.0291874172,976917.2872065884,136444.7780821917,227903.45753424653,76,209,72,35933.08219178081,72262.31506849319,28249.380821917803,74,222,347,21298.756164383572,75619.29041095896,130985.41095890412,51239.0,50458.0,1738.0,13212.0,13658.0,95810.0,95903.0,4015.0,19394.0,19573.0
730,1000,1.5001351472123745,149,851,41,468,274,217,357,643,713119.5904643526,977800.1392736342,135971.82739726026,228455.7863013697,76,209,72,35881.48767123287,71856.23287671235,28234.106849315078,74,222,347,21051.2301369863,75212.49863013696,132192.0575342467,51359.0,50622.0,1593.0,13342.0,13389.0,96157.0,95314.0,3683.0,19718.0,19823.0
1095,1000,1.4591778417982406,137,863,43,486,254,217,357,643,713129.5973651563,975757.0597933325,136070.97534246565,226082.94520547934,76,209,72,35899.684931506854,71928.15068493149,28243.13972602739,74,222,347,21240.841095890417,76183.67123287667,128658.43287671225,51368.0,50488.0,1688.0,13340.0,13421.0,96977.0,95744.0,3615.0,19235.0,19124.0
1460,1000,1.4143717200064343,135,865,42,499,243,216,357,643,712876.5700475407,970864.8994544821,135559.72876712325,221585.88493150688,76,209,72,35952.71232876712,71773.80000000003,27833.216438356172,74,222,347,21243.717808219175,75349.69315068492,124992.47397260272,51333.0,50788.0,1677.0,13349.0,13158.0,98157.0,96694.0,3711.0,18043.0,18090.0
1825,1000,1.39106233006229,131,869,40,520,222,218,357,643,713466.6647044924,968976.3559721841,135561.54794520544,219519.81095890427,76,209,72,35675.74246575342,72058.69041095888,27827.115068493153,74,222,347,21382.978082191778,75626.35890410964,122510.4739726028,51332.0,50879.0,1569.0,13216.0,13309.0,98383.0,97575.0,3640.0,17489.0,17608.0
2190,1000,1.372732401166604,129,871,42,525,221,212,357,643,712179.1810261132,966520.1081634177,135473.9479452055,216648.13698630157,76,209,72,35467.27945205479,72282.7424657534,27723.92602739726,74,222,347,21397.646575342464,75955.0383561643,119295.45205479446,51361.0,50939.0,1569.0,13194.0,13242.0,99181.0,97983.0,3877.0,16955.0,16699.0
2555,1000,1.3690438516462173,128,872,43,546,209,202,357,643,713106.4160242768,966861.2585395133,134934.34246575352,216258.89315068477,76,209,72,34558.33150684932,72631.86849315064,27744.142465753426,74,222,347,21841.90958904109,76554.0630136986,117862.92054794525,51601.0,50853.0,1598.0,13139.0,13114.0,99237.0,98222.0,3696.0,16963.0,16577.0
