tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734529.6648174686,989349.0290067248,156981.2547945204,239305.29041095893,76,209,72,27711.186301369864,93148.3726027397,36121.69589041097,74,222,347,24445.783561643835,75797.63561643833,139061.87123287682,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.54011673681127,145,855,36,443,272,249,357,643,787992.3380240387,1111545.69979835,210221.86849315072,361527.8986301365,76,209,72,47513.361643835626,120097.57534246577,42610.93150684933,74,222,347,38780.69041095891,123848.71232876698,198898.4958904109,28802.0,28525.0,19159.0,26723.0,27096.0,56216.0,55875.0,33422.0,44740.0,44442.0
730,1000,1.5082393592192331,148,852,40,419,256,285,357,643,788697.2110546313,1113382.695310063,211450.85753424658,363212.136986301,76,209,72,48110.90958904111,120738.39178082191,42601.55616438357,74,222,347,40031.77260273972,124334.48767123286,198845.87671232875,28473.0,28243.0,18911.0,27583.0,27095.0,55786.0,55822.0,32774.0,45370.0,44943.0
1095,1000,1.513459699643083,155,845,31,420,222,327,357,643,789627.4809546993,1117024.1157905324,212421.19178082215,367162.63835616445,76,209,72,48287.24109589041,121135.59999999998,42998.350684931516,74,222,347,42150.600000000006,126599.83013698625,198412.20821917793,28199.0,27990.0,19134.0,27415.0,27567.0,55294.0,54451.0,32327.0,46750.0,45873.0
1460,1000,1.5392225517132987,153,847,27,396,224,353,357,643,789787.2380397426,1115953.3379030596,212126.1726027396,366662.81369863026,76,209,72,48078.29041095889,120985.74794520542,43062.13424657536,74,222,347,42949.00547945207,127295.18356164382,196418.62465753432,28310.0,28227.0,18895.0,27313.0,27560.0,55098.0,55008.0,32027.0,46438.0,46124.0
1825,1000,1.5866055448019203,151,849,28,384,203,385,357,643,791727.4734639341,1115178.353518912,213628.65205479448,365928.8904109591,76,209,72,48715.50136986302,121343.74520547944,43569.405479452056,74,222,347,42755.3698630137,127638.07945205478,195535.44109589048,28158.0,27604.0,18624.0,28078.0,27841.0,55405.0,55017.0,32313.0,45958.0,46002.0
2190,1000,1.657636691121708,149,851,24,371,203,402,357,643,790429.6328692529,1114879.5184183393,213613.57260273982,366148.16712328786,76,209,72,48384.1205479452,121783.46849315074,43445.98356164383,74,222,347,43412.87945205479,128592.80821917806,194142.47945205474,28098.0,27865.0,18370.0,27858.0,28114.0,55542.0,54792.0,32192.0,46115.0,46054.0
2555,1000,1.7075698481458554,154,846,25,366,193,416,357,643,792282.8213266126,1115829.339083576,214819.97534246574,366307.50958904123,76,209,72,48966.512328767145,122325.74520547948,43527.717808219175,74,222,347,43535.556164383575,129025.98904109593,193745.96438356166,27847.0,27527.0,18442.0,28167.0,28322.0,55706.0,54601.0,32074.0,46278.0,46036.0
