tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,735251.6451621229,988904.9302521278,156884.07945205487,239317.36438356165,76,209,72,27708.78630136986,93089.30136986305,36085.99178082191,74,222,347,24418.958904109586,75836.61917808215,139061.7863013699,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.543260623111055,152,848,36,438,256,270,357,643,744937.8861056921,1031379.7177775572,167131.75342465748,281747.4301369861,76,209,72,41700.213698630156,91357.73972602747,34073.799999999996,74,222,347,28315.123287671235,93748.90684931508,159683.40000000008,42105.0,41818.0,7634.0,19268.0,19480.0,79926.0,80123.0,15143.0,29787.0,29716.0
730,1000,1.5294748288588011,147,853,36,421,244,299,357,643,744177.6184456293,1033208.8530739461,167061.43561643836,282924.690410959,76,209,72,41368.13150684931,91671.64657534247,34021.65753424657,74,222,347,29884.021917808222,95466.85205479448,157573.816438356,41954.0,42054.0,7588.0,19477.0,19232.0,79806.0,79790.0,14841.0,30172.0,30086.0
1095,1000,1.5567965795891885,151,849,32,411,217,340,357,643,742838.7871427463,1032753.6719186004,166533.00273972604,283367.27945205435,76,209,72,40725.30410958904,91554.24109589038,34253.45753424658,74,222,347,30867.106849315078,97234.51506849317,155265.6575342466,42322.0,41823.0,7554.0,19424.0,19182.0,79656.0,79780.0,14713.0,30193.0,30353.0
1460,1000,1.608593006968372,158,842,31,401,206,362,357,643,745748.0212972558,1033992.4482764114,168155.5041095891,284670.51506849326,76,209,72,41162.38356164382,92196.51780821919,34796.60273972601,74,222,347,32024.065753424653,100085.9780821918,152560.47123287668,41936.0,41559.0,7246.0,19797.0,19767.0,79433.0,79470.0,14431.0,30787.0,30574.0
1825,1000,1.675908824284777,157,843,31,384,209,376,357,643,745702.1298526925,1033483.9844552493,168124.83287671243,284072.6164383562,76,209,72,41113.463013698645,92233.16438356169,34778.205479452045,74,222,347,32977.427397260275,100521.16986301373,150574.0191780822,41812.0,41672.0,7320.0,19817.0,19684.0,79452.0,79769.0,14366.0,30574.0,30534.0
2190,1000,1.750982093718072,161,839,28,375,201,396,357,643,746389.7358177741,1034278.9574167226,168856.7479452054,285273.4438356163,76,209,72,41753.44109589041,92387.49315068503,34715.81369863013,74,222,347,33860.78904109588,101836.59726027401,149576.0575342466,41781.0,41530.0,7045.0,19809.0,20140.0,79443.0,79350.0,14207.0,30620.0,31075.0
2555,1000,1.8243884762373492,167,833,24,371,192,413,357,643,747507.6375281713,1034567.1421150701,170047.62191780817,284977.5178082193,76,209,72,41498.74520547945,94046.92328767125,34501.953424657535,74,222,347,35172.42465753424,101344.0301369863,148461.06301369861,41372.0,41275.0,7121.0,20357.0,20180.0,79700.0,79201.0,13830.0,31015.0,30949.0
