tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734018.9443259032,988726.7070838824,156896.0493150685,239315.8465753425,76,209,72,27688.186301369857,93138.03287671227,36069.830136986304,74,222,347,24415.96712328766,75827.76986301369,139072.10958904112,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5464672793692729,144,856,39,465,248,248,357,643,753186.2734836066,1039426.6684698609,176142.05753424662,290948.49315068504,76,209,72,43530.25479452055,97036.78082191783,35575.021917808226,74,222,347,29956.380821917803,97460.9315068493,163531.18082191783,39209.0,39231.0,10132.0,20623.0,21110.0,77321.0,77541.0,16551.0,31570.0,31712.0
730,1000,1.4622752680560398,135,865,40,462,225,273,357,643,752875.8150688534,1038804.7318043847,175023.3232876712,289802.0931506849,76,209,72,42907.882191780816,96549.64657534246,35565.79452054795,74,222,347,29923.095890410958,96319.72328767125,163559.27397260274,39530.0,39246.0,10164.0,20799.0,20566.0,77779.0,77725.0,16470.0,31282.0,31439.0
1095,1000,1.4216554742695637,132,868,41,453,215,291,357,643,753386.8548405523,1036519.0475175373,175471.0712328765,286580.5452054796,76,209,72,43041.25205479451,96965.0657534247,35464.753424657545,74,222,347,29643.56712328768,95704.23287671234,161232.74520547944,39312.0,39271.0,10130.0,20806.0,20786.0,78513.0,78432.0,16795.0,30552.0,30403.0
1460,1000,1.3860244386889624,131,869,42,444,205,309,357,643,753572.7713087739,1036922.0512975045,175467.42465753405,286928.9808219175,76,209,72,43258.23013698628,97141.97260273977,35067.22191780822,74,222,347,30190.421917808217,96178.09863013704,160560.46027397265,39271.0,39448.0,10040.0,20853.0,20693.0,78559.0,78060.0,16724.0,30621.0,30731.0
1825,1000,1.3476673185739712,130,870,39,441,210,310,357,643,753443.2221770845,1033516.1233238283,175967.66301369853,284196.06849315064,76,209,72,43711.48767123287,97094.79178082194,35161.38356164383,74,222,347,30191.917808219183,95653.68219178075,158350.46849315084,39366.0,38851.0,10175.0,20905.0,21008.0,79086.0,78987.0,16823.0,29955.0,29844.0
2190,1000,1.3162616759981653,128,872,37,445,191,327,357,643,753894.4699465206,1032968.9382730463,176602.97808219172,282394.50684931496,76,209,72,43487.016438356164,97848.47397260279,35267.48767123288,74,222,347,29924.427397260275,95812.70410958902,156657.37534246568,39063.0,39001.0,10164.0,20964.0,21113.0,79408.0,79370.0,17035.0,29452.0,29430.0
2555,1000,1.3033749021773489,129,871,37,441,190,332,357,643,753701.037661509,1031954.7154893079,176030.75890410953,281586.9150684931,76,209,72,43650.739726027394,97232.54520547946,35147.47397260274,74,222,347,29671.238356164373,96437.71506849317,155477.96164383553,39276.0,39190.0,10007.0,20779.0,21053.0,79671.0,79623.0,16668.0,29473.0,29260.0
