tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734807.2245445364,989341.3121845083,157066.32054794524,239464.1452054793,76,209,72,27751.857534246574,93220.36986301371,36094.093150684916,74,222,347,24442.775342465764,75924.57534246572,139096.7945205479,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5231669086368598,144,856,37,452,277,234,357,643,713125.16465002,974622.6254610189,135270.58904109587,224773.31506849307,76,209,72,35963.657534246566,72123.4328767123,27183.498630136994,74,222,347,20494.224657534247,74605.50958904109,129673.58082191777,50895.0,51543.0,1687.0,13050.0,13130.0,96907.0,96563.0,3507.0,18975.0,18743.0
730,1000,1.4514716374275107,141,859,33,457,239,271,357,643,714157.0915220138,971184.5060296063,136165.7479452055,221433.94520547937,76,209,72,36375.882191780816,72425.8657534247,27364.0,74,222,347,20511.893150684933,74553.29041095891,126368.76164383559,51360.0,50512.0,1508.0,13516.0,13409.0,97818.0,97255.0,3381.0,18045.0,18196.0
1095,1000,1.4583126309980672,141,859,37,455,230,278,357,643,712332.6349906607,970022.556168196,135637.40273972598,220660.15616438366,76,209,72,36009.57534246575,72008.21369863009,27619.61369863013,74,222,347,21369.45479452054,75660.6849315069,123630.01643835616,51422.0,50786.0,1468.0,13333.0,13296.0,97781.0,97822.0,3285.0,17992.0,17815.0
1460,1000,1.4688275054027893,145,855,38,469,204,289,357,643,713324.0381227402,969920.8997905564,136524.5726027398,220961.84657534244,76,209,72,34922.35342465754,73434.36712328765,28167.85205479451,74,222,347,22393.810958904105,77461.90410958901,121106.13150684928,51199.0,50609.0,1476.0,13505.0,13516.0,97937.0,97475.0,3299.0,18187.0,17797.0
1825,1000,1.5020957690267445,145,855,40,476,180,304,357,643,715215.5990843179,970671.247044623,137110.57808219196,221708.05753424668,76,209,72,35060.13698630137,73727.40273972608,28323.038356164383,74,222,347,23996.109589041098,78420.62191780824,119291.3260273972,50845.0,50737.0,1462.0,13547.0,13714.0,97838.0,97282.0,3168.0,18298.0,18109.0
2190,1000,1.5467802629825023,144,856,39,486,189,286,357,643,714380.8168251718,970996.4260148759,136458.97534246577,222002.82465753434,76,209,72,34993.49315068494,73076.1671232877,28389.315068493157,74,222,347,24409.04109589041,78804.59726027398,118789.1863013698,51034.0,50837.0,1408.0,13539.0,13487.0,97634.0,97362.0,3250.0,18210.0,18239.0
2555,1000,1.5922628587075391,146,854,43,487,173,297,357,643,713906.7789669344,973064.3909441043,136187.0,223863.69041095878,76,209,72,35050.27945205479,72755.597260274,28381.12328767123,74,222,347,26345.35342465754,78721.5616438356,118796.7753424658,51312.0,50604.0,1512.0,13443.0,13434.0,97418.0,96560.0,3149.0,18863.0,18705.0
