tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,735613.6798406995,989408.7099094738,156886.21917808216,239335.4767123288,76,209,72,27669.139726027388,93160.4767123287,36056.602739726026,74,222,347,24458.40273972603,75778.84931506847,139098.2246575342,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5002587579736193,144,856,36,467,238,259,357,643,717983.8068559838,976122.8609768464,139916.3890410959,226843.4054794521,76,209,72,36259.43013698631,75175.6630136986,28481.29589041095,74,222,347,20874.139726027388,75757.24383561643,130212.02191780812,50027.0,49722.0,2286.0,14054.0,14216.0,96145.0,96335.0,3695.0,19281.0,19239.0
730,1000,1.4503083572102657,134,866,37,475,215,273,357,643,717915.7370123442,971536.2070751799,139657.1863013697,221892.07123287668,76,209,72,36874.51506849315,74457.3534246576,28325.317808219173,74,222,347,21359.772602739726,75252.31780821923,125279.98082191775,50315.0,49630.0,2022.0,14088.0,14250.0,98224.0,96536.0,3439.0,18210.0,18286.0
1095,1000,1.4410040691795545,135,865,36,498,181,285,357,643,716215.5012981648,966046.1491951153,139571.093150685,216657.0767123289,76,209,72,37099.501369863014,74284.92602739733,28186.665753424666,74,222,347,21963.63561643835,75243.27123287671,119450.16986301377,50446.0,49384.0,2178.0,14304.0,13993.0,99322.0,98088.0,3368.0,17056.0,16861.0
1460,1000,1.4505897006130268,132,868,39,505,174,282,357,643,715710.4090014261,965149.8430223507,138230.7753424658,216431.74794520557,76,209,72,36724.8904109589,73450.09589041096,28055.7890410959,74,222,347,22817.772602739722,76659.6136986301,116954.36164383552,51016.0,49461.0,2059.0,13906.0,13863.0,99764.0,97646.0,3394.0,16682.0,17209.0
1825,1000,1.4566261261890372,132,868,40,510,176,274,357,643,715464.2865472522,964981.4147429636,138187.51780821924,215519.59452054783,76,209,72,36306.79178082192,73772.21369863015,28108.512328767134,74,222,347,22929.309589041102,77706.7369863014,114883.54794520552,50456.0,50270.0,2046.0,13919.0,13614.0,99933.0,98090.0,3203.0,16829.0,16640.0
2190,1000,1.4766302103613833,134,866,34,524,171,271,357,643,715642.2570056658,964471.1328690271,138181.93972602737,214943.5260273977,76,209,72,36276.24383561643,73705.86575342463,28199.830136986315,74,222,347,23529.83835616438,77166.80547945206,114246.88219178074,50847.0,49816.0,2115.0,13738.0,13789.0,100167.0,97960.0,3133.0,16697.0,16738.0
2555,1000,1.5088646370997747,133,867,34,529,175,262,357,643,715525.9452906122,964942.6606951202,138369.27397260262,215427.2410958904,76,209,72,36146.84109589042,74093.7671232876,28128.665753424655,74,222,347,23581.339726027392,77313.4493150685,114532.45205479446,50531.0,50017.0,2059.0,14050.0,13648.0,100156.0,97736.0,3157.0,16830.0,16816.0
