tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734717.33781875,989529.3468806915,156900.78904109594,239463.00821917824,76,209,72,27702.55890410958,93071.49315068494,36126.73698630135,74,222,347,24434.37808219178,75868.30136986301,139160.3287671233,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5665871713718595,149,851,37,458,276,229,357,643,707240.8510551836,975835.1732434788,129022.54246575342,225747.16438356173,76,209,72,34538.17260273972,69023.58082191776,25460.78904109589,74,222,347,20697.191780821922,74970.93972602741,130079.03287671244,53475.0,52869.0,128.0,10733.0,13100.0,96664.0,96616.0,3550.0,18193.0,19672.0
730,1000,1.5351704038548846,149,851,39,473,245,243,357,643,705354.2447798494,973572.311916828,127845.16986301371,224458.11232876728,76,209,72,34838.81095890411,68076.21095890406,24930.14794520549,74,222,347,20672.317808219188,76688.50958904109,127097.2849315068,55414.0,50257.0,51.0,13428.0,11155.0,96875.0,96930.0,3446.0,18701.0,18743.0
1095,1000,1.5269075969897399,146,854,43,478,222,257,357,643,706190.3514515294,973391.589644291,128263.58630136984,223279.7287671234,76,209,72,35143.86027397261,68194.75068493148,24924.975342465754,74,222,347,21818.29589041096,77960.02739726022,123501.40547945205,55866.0,49499.0,39.0,13124.0,11777.0,97285.0,97101.0,3336.0,18378.0,18595.0
1460,1000,1.5203933568277388,152,848,42,488,205,265,357,643,706729.2222082064,971541.9351347863,128564.92876712327,222257.7123287674,76,209,72,35233.03013698631,68441.57808219174,24890.320547945204,74,222,347,23443.326027397256,78080.4986301369,120733.88767123288,55205.0,50074.0,30.0,13918.0,11078.0,97608.0,97079.0,3441.0,18321.0,18246.0
1825,1000,1.5443199046080827,151,849,39,497,189,275,357,643,704784.6957915216,973157.5791884069,127924.78904109579,223678.10684931497,76,209,72,34548.14520547944,68441.6520547945,24934.991780821907,74,222,347,25339.39999999999,78721.65205479461,119617.05479452056,55474.0,49986.0,30.0,13919.0,10896.0,97031.0,97222.0,3128.0,18543.0,18771.0
2190,1000,1.5805062389423572,151,849,41,503,174,282,357,643,704082.5179743124,974504.4081146661,127140.49315068506,224983.27123287658,76,209,72,34087.28219178083,68297.66027397264,24755.5506849315,74,222,347,26730.169863013696,79251.93698630133,119001.1643835616,56795.0,48926.0,35.0,12741.0,11808.0,96706.0,96928.0,3104.0,19039.0,18918.0
2555,1000,1.6232150887808106,152,848,46,511,163,280,357,643,705638.8849438962,973150.4083528344,127390.68767123295,223762.76164383572,76,209,72,33158.37260273974,68980.2630136986,25252.052054794516,74,222,347,26937.446575342467,79689.67123287669,117135.64383561646,56199.0,49639.0,33.0,12510.0,11924.0,97482.0,96764.0,2886.0,18669.0,18894.0
