tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734093.6124990092,989495.9455421171,156886.93150684919,239282.8575342465,76,209,72,27735.090410958903,93079.47123287673,36072.3698630137,74,222,347,24439.94794520547,75801.0520547945,139041.85753424664,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5318275729682986,141,859,38,431,249,282,357,643,757213.6886371181,1041392.430296141,179201.77260273963,291802.0849315065,76,209,72,43541.62465753422,99473.21095890416,36186.93698630137,74,222,347,30243.884931506855,98517.22739726027,163040.97260273973,38506.0,38356.0,9881.0,21872.0,21690.0,77448.0,77443.0,15540.0,32210.0,32054.0
730,1000,1.5479282578093039,147,853,38,404,234,324,357,643,757061.6404971676,1039061.6693216026,179384.69863013693,289320.1150684929,76,209,72,43545.59178082191,99740.01917808219,36099.08767123288,74,222,347,30577.898630136988,98469.27945205476,160272.93698630147,38736.0,38044.0,9605.0,22101.0,21819.0,78615.0,77238.0,15324.0,32210.0,31308.0
1095,1000,1.6377980442995175,154,846,35,394,201,370,357,643,758068.1455632743,1041979.3127507602,180280.58082191786,292427.0684931509,76,209,72,44107.89589041096,100212.21369863015,35960.47123287671,74,222,347,32800.98356164383,100283.7178082192,159342.3671232877,38756.0,37644.0,9486.0,22174.0,22245.0,78042.0,76517.0,14966.0,32639.0,32531.0
1460,1000,1.7418219251916496,153,847,33,396,195,376,357,643,759533.9723028111,1044066.9402422433,181266.82465753428,293491.03561643837,76,209,72,43695.326027397256,101039.34794520549,36532.15068493152,74,222,347,34568.08219178082,100989.15068493148,157933.80273972594,38232.0,37719.0,9362.0,22718.0,22274.0,77722.0,76446.0,14463.0,33574.0,32490.0
1825,1000,1.8257923774789435,156,844,29,379,193,399,357,643,759068.2390006005,1040825.9063784803,182030.3013698631,292091.06849315093,76,209,72,43625.11506849314,101914.70684931506,36490.479452054795,74,222,347,34845.62191780821,100421.30684931506,156824.1397260273,37890.0,37833.0,9099.0,22997.0,22486.0,78599.0,76105.0,14671.0,32836.0,32484.0
2190,1000,1.9093967210757188,162,838,27,366,193,414,357,643,760333.9073012066,1043826.493237799,182180.96712328758,294588.29589041113,76,209,72,43383.07397260274,102158.10958904104,36639.783561643846,74,222,347,35864.44383561643,101608.38630136984,157115.46575342462,38276.0,37391.0,9069.0,22751.0,22818.0,77889.0,75665.0,14442.0,33605.0,33094.0
2555,1000,2.0050473118659897,167,833,22,356,186,436,357,643,759785.3361819279,1046604.1622160649,182274.91506849322,296809.79178082163,76,209,72,43498.2,102436.27123287665,36340.44383561645,74,222,347,37715.9506849315,101879.32602739728,157214.51506849326,38208.0,37545.0,8933.0,22767.0,22852.0,77627.0,74904.0,14154.0,34127.0,33883.0
