tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,733754.4812492769,989005.7509378997,156855.88493150697,239372.4465753425,76,209,72,27667.172602739727,93094.01369863017,36094.69863013699,74,222,347,24499.84383561644,75800.86849315069,139071.7342465753,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5292459490441437,144,856,37,439,255,269,357,643,738248.6189586084,1001091.0679431914,161116.9424657533,252042.02739726045,76,209,72,40866.61095890411,87704.32602739726,32546.00547945206,74,222,347,24137.695890410956,84001.40821917808,143902.92328767123,43480.0,43901.0,6805.0,17825.0,18294.0,89314.0,88482.0,8275.0,24143.0,24481.0
730,1000,1.4764007182406154,143,857,35,422,226,317,357,643,738983.8651993219,998699.0299849065,161656.48219178076,248595.97534246588,76,209,72,40991.52602739726,88072.13424657527,32592.82191780821,74,222,347,24027.347945205474,85116.83835616434,139451.78904109597,43328.0,43724.0,6764.0,18456.0,18033.0,91062.0,88129.0,7849.0,23993.0,23662.0
1095,1000,1.4410425197196173,142,858,33,420,210,337,357,643,737668.0831088126,995132.7333229141,161012.49863013683,246484.76438356156,76,209,72,40917.26575342466,87581.45479452053,32513.778082191784,74,222,347,24085.78082191781,84900.23287671234,137498.75068493155,43762.0,43558.0,6719.0,18143.0,18123.0,91827.0,88548.0,7621.0,23581.0,23118.0
1460,1000,1.4516307878000965,141,859,34,415,192,359,357,643,737170.2925122911,995132.1476370067,160398.06027397254,246063.69863013722,76,209,72,40689.98630136985,87298.99452054796,32409.079452054786,74,222,347,25016.150684931505,85349.79178082189,135697.75616438358,43883.0,43774.0,6652.0,18028.0,17968.0,92240.0,88350.0,7292.0,23607.0,23206.0
1825,1000,1.4765268325205918,146,854,33,414,185,368,357,643,738865.9322541716,996196.2878710262,160767.0712328767,247465.19452054784,76,209,72,40684.86301369866,87768.90136986297,32313.30684931508,74,222,347,26396.34794520547,86052.8547945205,135015.99178082196,43933.0,43574.0,6481.0,18207.0,18110.0,91483.0,88513.0,7482.0,23767.0,23450.0
2190,1000,1.495686810431729,149,851,29,410,193,368,357,643,740137.7284521294,998062.5794216665,162226.95890410972,248386.2657534247,76,209,72,40980.989041095905,88945.40547945202,32300.564383561643,74,222,347,27200.10136986302,86515.69315068492,134670.47123287665,43603.0,43217.0,6532.0,18442.0,18511.0,91328.0,88266.0,7231.0,24022.0,23848.0
2555,1000,1.5414428351534375,152,848,29,395,191,385,357,643,737754.2405503617,997843.9327943741,161223.35616438364,249238.35616438373,76,209,72,40530.64383561642,88493.97260273968,32198.739726027394,74,222,347,28294.701369863014,86882.38082191786,134061.27397260288,44101.0,43110.0,6431.0,18231.0,18432.0,90844.0,88423.0,6994.0,24493.0,23941.0
