tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734413.628663949,989099.5928024168,156868.1260273971,239336.9808219179,76,209,72,27668.972602739734,93180.6109589041,36018.54246575344,74,222,347,24443.928767123285,75787.66301369865,139105.38904109588,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5425675987745924,141,859,40,448,273,239,357,643,720740.4531011631,978348.1592992074,143303.2410958905,229289.698630137,76,209,72,37557.720547945195,76953.54520547942,28791.975342465754,74,222,347,21099.287671232876,76203.11232876715,131987.29863013697,48857.0,49022.0,3018.0,14740.0,14668.0,95812.0,95349.0,3632.0,19913.0,19989.0
730,1000,1.496946367964242,134,866,42,459,246,253,357,643,720999.168806334,972613.5036346128,142645.0136986302,222506.3342465754,76,209,72,37264.830136986304,76603.66575342468,28776.517808219178,74,222,347,21055.805479452058,74781.12602739727,126669.40273972598,49064.0,49176.0,2819.0,14637.0,14609.0,98170.0,96157.0,3361.0,18459.0,18548.0
1095,1000,1.4717769143342005,133,867,43,454,231,272,357,643,720919.4247628376,969967.793615586,143446.05205479445,220287.76986301373,76,209,72,37329.610958904115,77448.20821917811,28668.232876712333,74,222,347,21024.400000000005,76300.07123287671,122963.298630137,49027.0,48622.0,3015.0,14950.0,14691.0,98642.0,96797.0,3456.0,18092.0,17708.0
1460,1000,1.4695994343259942,134,866,43,460,218,279,357,643,720009.35088933,969771.3099362653,143011.51232876716,220569.816438356,76,209,72,37256.28493150685,77015.01643835616,28740.210958904114,74,222,347,22068.408219178087,76110.88767123286,122390.52054794518,49481.0,48433.0,2822.0,14832.0,14737.0,98704.0,96610.0,3411.0,18068.0,17902.0
1825,1000,1.4645418856490302,137,863,43,468,223,266,357,643,720744.2342000157,969674.457085293,143587.06575342466,220393.605479452,76,209,72,37361.01917808219,77451.42739726033,28774.619178082186,74,222,347,23002.10136986302,75493.67123287664,121897.83287671232,49017.0,48776.0,2773.0,14822.0,14917.0,98773.0,96643.0,3266.0,18159.0,17854.0
2190,1000,1.4859877078793808,135,865,40,475,213,272,357,643,720616.8334978219,970478.4127883628,143389.51232876713,221758.8520547945,76,209,72,37422.326027397256,77441.74520547948,28525.441095890405,74,222,347,23795.97808219177,76184.41369863013,121778.46027397258,49023.0,48686.0,2836.0,15067.0,14693.0,98376.0,96393.0,3259.0,18502.0,18165.0
2555,1000,1.5124229405778185,138,862,39,491,193,277,357,643,719814.5091139331,970930.050867865,142845.23835616434,222092.5698630137,76,209,72,36736.87671232878,77449.90958904114,28658.45205479453,74,222,347,23716.40821917808,76682.45479452054,121693.70684931515,49413.0,48474.0,2884.0,14837.0,14697.0,98524.0,95998.0,3335.0,18471.0,18367.0
