tick,Population,meanPD,PDyes,PDno,bmiGrp1,bmiGrp2,bmiGrp3,bmiGrp4,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,1000,1.631,135,865,35,443,302,220,357,643,734358.5124271284,988022.6868477172,156940.27945205485,239299.71506849307,76,209,72,27722.02465753425,93130.27397260274,36087.98082191781,74,222,347,24446.668493150686,75891.06027397262,138961.98630136982,31857.0,54510.0,21782.0,10896.0,11260.0,75439.0,98779.0,36840.0,15224.0,8413.0
365,1000,1.5643842965164139,148,852,37,445,279,239,357,643,740947.6678552505,1029304.7010744103,163329.52328767127,279984.4082191784,76,209,72,40713.813698630125,89023.56712328766,33592.14246575344,74,222,347,27424.158904109583,93414.59999999995,159145.6493150685,43055.0,43157.0,6821.0,18582.0,18690.0,80644.0,80768.0,14269.0,29402.0,29612.0
730,1000,1.5217887826990593,145,855,37,443,257,263,357,643,741410.510072134,1029102.6120686086,164238.1726027396,279630.76712328783,76,209,72,40614.76438356166,89815.92054794522,33807.48767123288,74,222,347,27787.287671232865,94129.8082191781,157713.6712328768,43028.0,42709.0,6616.0,19055.0,18897.0,80833.0,80717.0,14004.0,29694.0,29447.0
1095,1000,1.519998843219022,146,854,37,441,242,280,357,643,742471.7462506223,1028400.9289921816,165717.52054794523,278915.065753425,76,209,72,40842.293150684935,90969.09589041103,33906.131506849335,74,222,347,28630.67123287672,94508.94794520547,155775.4465753426,42622.0,42403.0,6633.0,19502.0,19145.0,81193.0,80633.0,14247.0,29282.0,29340.0
1460,1000,1.5241959220060985,148,852,37,433,231,299,357,643,742761.1131610707,1028574.8254577954,164926.03013698634,279201.301369863,76,209,72,40654.5698630137,90555.2712328767,33716.18904109589,74,222,347,28869.282191780825,95757.22739726018,154574.79178082195,42901.0,42547.0,6552.0,19340.0,18965.0,80924.0,80833.0,14050.0,29544.0,29344.0
1825,1000,1.5505211844727378,151,849,35,438,222,305,357,643,742676.7721790132,1030418.4061390901,165599.84109589033,280569.18356164376,76,209,72,40674.96712328767,91565.39726027398,33359.47671232877,74,222,347,29344.599999999988,96750.67671232879,154473.90684931504,42802.0,42212.0,6680.0,19305.0,19306.0,80705.0,80369.0,14068.0,29801.0,29752.0
2190,1000,1.5755421984592546,151,849,35,439,216,310,357,643,741875.4577976856,1031843.3794064396,165391.01643835614,282577.07945205516,76,209,72,40824.80000000001,90960.73698630136,33605.479452054795,74,222,347,30392.580821917796,97323.86301369865,154860.6356164384,42569.0,42710.0,6514.0,19226.0,19286.0,80408.0,79721.0,13868.0,30406.0,30292.0
2555,1000,1.5977329278031156,151,849,36,435,206,323,357,643,743325.3099934827,1031747.2431175021,165847.71506849307,281581.89863013703,76,209,72,40710.210958904114,90958.2876712329,34179.21643835616,74,222,347,30821.843835616426,97148.57808219174,153611.4767123288,42920.0,42055.0,6401.0,19417.0,19512.0,80425.0,80078.0,14029.0,30345.0,29818.0
