tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75397.55502966393,102945.44063462447,15728.293150684933,25815.54520547945,13,19,5,5020.769863013698,8529.435616438357,2178.0876712328763,7,18,38,2972.9616438356165,6963.279452054795,15879.304109589044,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.6829105515934344,1.7303194413217675,6,11,31,52,27.47382854798437,25.3920029276929,0,3,11,36,14,13,12,11,37,63,80565.4872842897,112470.52220926622,20721.786301369862,35708.08219178081,13,19,5,7785.194520547944,10058.282191780823,2878.309589041096,7,18,38,3550.153424657534,9569.580821917807,22588.347945205474,3346.0,3347.0,1519.0,2619.0,2674.0,5502.0,5525.0,2847.0,4644.0,4477.0
730,100,1.6494228743482646,1.623172080441415,6,8,31,55,27.790440786094603,25.964525469757767,0,3,13,36,14,9,10,15,37,63,80281.0580958407,112145.38268183717,20622.331506849314,35144.15342465753,13,19,5,7743.394520547945,10100.646575342467,2778.290410958904,7,18,38,3438.7890410958903,9766.473972602738,21938.8904109589,3408.0,3278.0,1563.0,2641.0,2615.0,5688.0,5568.0,2957.0,4370.0,4412.0
1095,100,1.633333202183029,1.5273416557720214,6,8,31,55,28.166857887739432,27.015304242659724,0,3,12,32,15,14,10,14,37,63,79968.0743542288,111252.34436743805,20508.323287671235,34645.33698630137,13,19,5,7512.64383561644,10196.821917808216,2798.857534246575,7,18,38,3512.046575342466,9843.106849315069,21290.183561643833,3410.0,3322.0,1609.0,2593.0,2571.0,5738.0,5733.0,3071.0,4218.0,4235.0
1460,100,1.6019232049077794,1.4409634295715084,6,8,31,55,28.871776448542505,27.49695273134275,0,3,12,32,14,14,11,14,37,63,80692.38540490654,111257.19033027565,20451.915068493152,34308.65479452054,13,19,5,7410.041095890411,10097.789041095892,2944.0849315068494,7,18,38,3330.2054794520545,9604.597260273975,21373.852054794515,3416.0,3429.0,1476.0,2565.0,2619.0,5809.0,5839.0,3020.0,4241.0,4086.0
1825,100,1.5975815786510184,1.4335247957791912,6,8,31,55,29.58469294759751,28.7245583124481,0,3,11,30,15,14,11,16,37,63,80183.72808764713,111156.64885052275,20260.175342465758,34451.21643835617,13,19,5,7403.441095890411,10034.964383561644,2821.7698630136983,7,18,38,3457.5123287671236,9818.684931506848,21175.01917808219,3443.0,3402.0,1613.0,2612.0,2435.0,5811.0,5764.0,3024.0,4194.0,4202.0
