tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75288.67779690905,102689.4600675514,15717.57808219178,25892.690410958912,13,19,5,4971.501369863014,8547.315068493152,2198.7616438356167,7,18,38,2978.386301369863,6973.665753424658,15940.63835616438,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.664034032639038,1.828958733284592,6,10,31,53,27.255159339134703,24.84242377022441,0,3,13,38,14,16,10,6,37,63,74261.08018062866,101844.00690095275,14589.479452054793,24841.479452054795,13,19,5,5733.901369863014,6787.794520547947,2067.7835616438356,7,18,38,1820.4931506849316,5870.21095890411,17150.775342465753,5221.0,5033.0,273.0,1439.0,1539.0,8711.0,8877.0,299.0,2582.0,2526.0
730,100,1.595429207936436,1.637327788792544,6,9,31,54,27.290809474859245,24.9480457505021,0,3,14,42,16,10,7,8,37,63,74800.63956373924,99726.73063334644,14352.865753424654,22686.032876712325,13,19,5,5653.293150684931,6760.109589041096,1939.4630136986302,7,18,38,1816.5671232876712,5968.816438356164,14900.649315068495,5351.0,5012.0,213.0,1566.0,1363.0,9675.0,8834.0,259.0,2163.0,2064.0
1095,100,1.573985927699254,1.5026754413728385,6,7,31,56,27.98281913092595,25.548545547407688,0,3,16,42,14,10,7,8,37,63,73832.57333276683,99811.32170655225,14234.208219178085,22707.57260273973,13,19,5,5602.994520547945,6659.816438356165,1971.3972602739727,7,18,38,1830.7835616438358,6081.802739726027,14794.986301369863,5367.0,5080.0,203.0,1385.0,1470.0,9303.0,9364.0,216.0,2136.0,1976.0
1460,100,1.6070997981495325,1.3696487919624174,6,7,31,56,28.57526664087784,26.40565357301754,0,3,18,42,11,10,8,8,37,63,74156.98641770288,98352.11269305105,14110.208219178088,21252.578082191776,13,19,5,5506.109589041096,6650.054794520546,1954.0438356164382,7,18,38,1778.2739726027398,5936.019178082191,13538.284931506852,5502.0,4986.0,177.0,1439.0,1401.0,10179.0,9009.0,241.0,1845.0,1721.0
1825,100,1.6465067593689802,1.3686391464218723,6,7,31,56,29.26208352397638,27.408675980681995,0,3,21,46,8,6,8,8,37,63,74456.23832412518,98302.57463363935,14281.717808219184,21171.99178082192,13,19,5,5551.271232876712,6705.556164383562,2024.890410958904,7,18,38,1840.0986301369862,5984.284931506849,13347.60821917808,5334.0,5070.0,210.0,1484.0,1407.0,10072.0,9189.0,236.0,1799.0,1699.0
