tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75552.76801246137,102939.58600266854,15740.024657534246,25836.410958904115,13,19,5,4990.457534246574,8557.86301369863,2191.704109589041,7,18,38,2983.6301369863013,6940.512328767122,15912.268493150686,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.6511777634329996,1.9319406222044522,6,12,31,51,27.282098320558404,24.837005032567962,0,3,10,37,19,15,8,8,37,63,72679.28163957545,100521.21935696597,13076.073972602737,23348.34794520547,13,19,5,5251.093150684931,5956.199999999999,1868.7808219178082,7,18,38,1642.2493150684932,5481.054794520548,16225.043835616436,5546.0,5591.0,58.0,1121.0,1189.0,9189.0,9233.0,111.0,2224.0,2238.0
730,100,1.5798007905366425,1.832650671133207,6,12,31,51,27.30916206851906,24.71216478105094,0,3,11,38,16,15,10,7,37,63,72884.50201937863,100776.14856564556,13061.068493150686,23581.087671232886,13,19,5,5206.095890410958,5959.095890410958,1895.876712328767,7,18,38,1586.7424657534245,5745.238356164384,16249.106849315072,5533.0,5628.0,37.0,1153.0,1154.0,9215.0,9104.0,70.0,2276.0,2330.0
1095,100,1.5542546004955722,1.7020462290383853,6,11,31,52,26.921555325188866,24.63585112046688,0,3,14,38,14,13,9,9,37,63,72832.41412677313,100267.88273560976,13042.375342465755,23247.76164383561,13,19,5,5247.090410958904,5933.290410958904,1861.994520547945,7,18,38,1612.876712328767,5690.142465753424,15944.742465753425,5570.0,5566.0,61.0,1173.0,1135.0,9193.0,9348.0,70.0,2174.0,2210.0
1460,100,1.5391611619823855,1.6083405969825197,6,9,31,54,26.729868918722385,24.450228297538864,0,3,16,40,11,13,10,7,37,63,73071.79469327648,99306.7221162258,13001.88767123288,22258.58082191781,13,19,5,5195.032876712328,5885.243835616438,1921.6109589041093,7,18,38,1614.4849315068495,5661.912328767124,14982.18356164384,5536.0,5644.0,34.0,1149.0,1142.0,9565.0,9378.0,92.0,1967.0,1993.0
1825,100,1.526293739802473,1.5245764271331512,6,8,31,55,26.562839777357947,24.417882715470608,0,3,17,43,11,10,9,7,37,63,72858.7779871412,98239.17606895477,12944.09315068493,21144.126027397262,13,19,5,5175.512328767123,5895.26301369863,1873.317808219178,7,18,38,1655.9150684931508,5672.641095890411,13815.5698630137,5650.0,5527.0,37.0,1169.0,1122.0,9740.0,9783.0,96.0,1716.0,1660.0
