tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75766.0113128909,102806.42350643639,15727.435616438353,25862.82191780822,13,19,5,4992.761643835617,8523.082191780824,2211.591780821918,7,18,38,2964.7287671232884,6958.0657534246575,15940.027397260274,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.7340627034581344,1.827333836291113,7,11,30,52,27.014148691114855,25.011056993215412,0,3,12,36,16,14,9,10,37,63,73857.63195050847,102333.50026765812,14033.98356164384,25464.117808219173,13,19,5,5857.334246575342,6137.712328767123,2038.9369863013696,7,18,38,2070.230136986301,6047.419178082191,17346.468493150685,5547.0,5002.0,128.0,1353.0,1475.0,8650.0,8506.0,505.0,2694.0,2640.0
730,100,1.7835489290416455,1.5935625716358874,7,8,30,55,26.699750969522857,25.143973450927664,0,3,15,38,15,13,7,9,37,63,74095.34248366542,100748.4932242926,14082.534246575338,23989.052054794516,13,19,5,6034.34794520548,6049.369863013699,1998.8164383561646,7,18,38,2057.435616438356,5877.769863013698,16053.846575342464,5642.0,4802.0,61.0,1653.0,1347.0,9083.0,8793.0,481.0,2347.0,2291.0
1095,100,1.7730148885289465,1.4679499816527615,7,7,30,56,26.910386401391033,25.43624373005928,0,2,16,41,12,10,9,10,37,63,74297.93487048245,99776.34161475905,14297.263013698628,22892.936986301374,13,19,5,6164.268493150685,6107.123287671234,2025.8712328767124,7,18,38,2083.9479452054793,5764.627397260273,15044.36164383562,5467.0,4984.0,58.0,1528.0,1468.0,9256.0,9177.0,509.0,2041.0,2012.0
1460,100,1.7660635179472393,1.438303968016704,7,7,30,56,27.38570821063942,25.50082782865556,0,2,17,41,11,9,9,11,37,63,73959.37539302217,99399.60488160687,14240.457534246576,22710.221917808212,13,19,5,6070.854794520547,6147.684931506848,2021.9178082191781,7,18,38,1975.098630136986,5643.591780821918,15091.531506849316,5427.0,5026.0,59.0,1627.0,1366.0,9474.0,8980.0,479.0,2097.0,1965.0
1825,100,1.7756920743269442,1.3822542434397218,7,6,30,57,27.74981551137094,25.717710989508294,0,2,19,40,10,9,8,12,37,63,73807.39005437368,98794.5340142897,14111.821917808218,21966.197260273977,13,19,5,6108.309589041095,6039.073972602739,1964.4383561643835,7,18,38,2013.082191780822,5617.101369863014,14336.013698630137,5468.0,4990.0,79.0,1695.0,1273.0,9584.0,9204.0,553.0,1943.0,1711.0
