tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75700.9679149073,103010.6088280034,15730.416438356164,25871.301369863017,13,19,5,5012.095890410959,8526.65479452055,2191.6657534246574,7,18,38,2968.980821917808,6989.956164383563,15912.364383561642,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.6438041894733286,1.7347575450137083,7,8,30,55,26.9488253332204,24.84713362953173,0,3,13,37,17,14,7,9,37,63,73933.7601188367,103411.86382722577,14394.32328767123,26220.63561643836,13,19,5,6141.1506849315065,6283.07397260274,1970.0986301369865,7,18,38,2051.2383561643837,6608.465753424658,17560.931506849312,5330.0,5081.0,138.0,1449.0,1507.0,8281.0,8399.0,838.0,2740.0,2737.0
730,100,1.5905591762784985,1.5132864302111093,6,7,31,56,27.15922706300887,24.69631977127441,0,3,14,43,15,8,8,9,37,63,74016.81532752821,100813.90340065584,13876.893150684933,24005.94520547945,13,19,5,5642.438356164384,6272.9698630137,1961.4849315068493,7,18,38,2086.654794520548,6203.6,15715.690410958907,5384.0,5308.0,117.0,1336.0,1360.0,8950.0,8781.0,861.0,2132.0,2271.0
1095,100,1.5644398469376253,1.4201230371574918,6,6,31,57,27.19575857014473,25.13937165411251,0,3,16,43,15,9,6,8,37,63,73405.19302997005,100979.16403971202,13804.849315068492,23935.419178082197,13,19,5,5535.416438356165,6308.975342465753,1960.4575342465753,7,18,38,2154.0219178082193,6093.394520547945,15688.002739726026,5518.0,5167.0,128.0,1377.0,1315.0,8772.0,9049.0,855.0,2105.0,2214.0
1460,100,1.5745921733162966,1.2700380486763208,6,6,31,57,27.267072734629778,25.263970790034367,0,3,18,46,13,6,6,8,37,63,73562.38226072563,99902.19232487721,13674.50410958904,23014.367123287673,13,19,5,5447.8410958904105,6339.928767123287,1886.7342465753422,7,18,38,2045.8273972602738,6076.1041095890405,14892.435616438357,5508.0,5222.0,115.0,1443.0,1217.0,9169.0,9040.0,848.0,1972.0,1966.0
1825,100,1.538243206122322,1.1760423554177895,6,6,31,57,27.6144278954944,26.656528752658197,0,4,19,48,11,3,7,8,37,63,73599.6588851029,100112.69753337938,13650.479452054795,22928.84109589041,13,19,5,5477.161643835617,6223.567123287671,1949.7506849315066,7,18,38,2082.531506849315,6181.6301369863,14664.679452054792,5562.0,5185.0,158.0,1233.0,1367.0,9152.0,9135.0,865.0,1921.0,1922.0
