tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75700.57309444924,102703.68214613055,15790.778082191782,25831.358904109587,13,19,5,5021.164383561643,8575.632876712327,2193.980821917808,7,18,38,2960.4767123287675,6932.320547945207,15938.561643835616,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.6882965789848645,1.8993470007413298,6,12,31,51,27.41793200942419,24.983006404055708,0,3,14,39,14,11,9,10,37,63,73099.10661844784,100838.3416059238,13447.060273972606,23794.15068493151,13,19,5,5409.106849315069,6131.972602739727,1905.980821917808,7,18,38,1694.849315068493,5673.167123287671,16426.134246575344,5423.0,5501.0,116.0,1249.0,1216.0,9035.0,9179.0,137.0,2253.0,2391.0
730,100,1.6526773206294736,1.787458952661103,6,11,31,52,27.7157890171025,24.780886755649192,0,3,14,38,14,12,9,10,37,63,73461.90189571228,100526.13979282828,13473.320547945206,23379.671232876713,13,19,5,5408.734246575343,6155.347945205478,1909.2383561643835,7,18,38,1701.2164383561644,5724.178082191781,15954.276712328769,5442.0,5463.0,121.0,1262.0,1217.0,9310.0,9034.0,137.0,2258.0,2256.0
1095,100,1.68898455448128,1.677573951729608,6,9,31,54,28.356790018043345,24.707571969834348,0,3,18,41,11,10,8,9,37,63,73249.77016061165,99237.3459225574,13524.728767123288,22273.60547945205,13,19,5,5444.671232876713,6162.493150684931,1917.564383561644,7,18,38,1627.6575342465753,5657.506849315068,14988.44109589041,5388.0,5519.0,146.0,1188.0,1264.0,9495.0,9398.0,152.0,1950.0,2000.0
1460,100,1.7945333013818006,1.577000228128919,6,9,31,54,29.559909298776457,24.769282986590003,0,3,17,41,10,9,10,10,37,63,73311.76543744784,98757.75279035555,13368.487671232875,21720.42191780822,13,19,5,5396.7945205479455,6056.435616438355,1915.2575342465752,7,18,38,1690.8438356164384,5722.931506849315,14306.646575342465,5541.0,5404.0,113.0,1153.0,1294.0,9693.0,9486.0,165.0,1816.0,1835.0
1825,100,1.824522224397622,1.5972694341943174,6,9,31,54,31.644465440930468,24.78718728643915,0,3,22,41,5,11,10,8,37,63,73265.1690736384,98437.71446360069,13386.74520547945,21614.504109589045,13,19,5,5359.446575342466,6096.931506849314,1930.3671232876713,7,18,38,1626.145205479452,5775.550684931506,14212.808219178083,5517.0,5419.0,114.0,1239.0,1216.0,9731.0,9478.0,159.0,1805.0,1822.0
