tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75126.57746379208,102892.20374701092,15696.556164383563,25824.334246575345,13,19,5,5012.767123287671,8503.605479452055,2180.1835616438357,7,18,38,2977.876712328767,6954.389041095892,15892.068493150682,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.7320446991830558,1.7709433386291977,6,11,31,52,27.45739526063036,24.729673636901037,0,3,13,43,12,8,12,9,37,63,73206.14229772905,100535.72726864435,13036.690410958907,23409.435616438357,13,19,5,5272.178082191782,5886.02191780822,1878.490410958904,7,18,38,1701.0465753424658,5567.224657534247,16141.164383561641,5742.0,5370.0,57.0,1143.0,1193.0,9122.0,9297.0,98.0,2255.0,2223.0
730,100,1.738217317571395,1.68473475126645,6,11,31,52,27.834803470391517,25.078472820405278,0,3,19,42,9,9,9,9,37,63,72722.27553109839,99464.67188496124,13031.758904109589,22679.975342465757,13,19,5,5267.597260273972,5873.4383561643845,1890.7232876712333,7,18,38,1659.2904109589042,5514.780821917809,15505.90410958904,5755.0,5347.0,53.0,1207.0,1143.0,9429.0,9265.0,95.0,2155.0,2051.0
1095,100,1.762159473302465,1.5455638193828571,6,11,31,52,29.087109483888828,25.45769989703079,0,3,22,41,7,10,8,9,37,63,73166.23996030621,99867.19089149525,13145.473972602736,22851.99452054794,13,19,5,5276.084931506849,5970.652054794521,1898.7369863013696,7,18,38,1681.682191780822,5668.994520547945,15501.317808219179,5583.0,5509.0,24.0,1184.0,1205.0,9301.0,9367.0,84.0,2169.0,2074.0
1460,100,1.7316084072812592,1.5547375808550181,6,11,31,52,31.29333480676048,26.477258677510413,0,4,24,44,5,4,8,11,37,63,72854.59676150403,99537.04793526858,12960.293150684929,22672.36712328767,13,19,5,5189.306849315068,5897.6301369863,1873.3561643835617,7,18,38,1602.7013698630137,5656.698630136986,15412.96712328767,5749.0,5399.0,32.0,1183.0,1142.0,9559.0,9115.0,62.0,2205.0,2054.0
1825,100,1.7166085765693075,1.4934667680678797,6,11,31,52,34.095418280342884,27.763911268434505,0,4,22,42,7,5,8,12,37,63,72731.35360504432,99726.62140665072,12993.865753424656,22609.013698630137,13,19,5,5231.490410958904,5852.413698630138,1909.9616438356163,7,18,38,1661.2465753424656,5676.956164383561,15270.810958904107,5754.0,5384.0,30.0,1138.0,1199.0,9615.0,9106.0,64.0,2131.0,2079.0
