tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75577.25271517571,102637.0415802189,15679.358904109586,25822.12876712328,13,19,5,4969.030136986302,8532.205479452054,2178.123287671233,7,18,38,2981.1726027397262,6948.473972602739,15892.482191780822,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.7208744387939732,1.895089047256963,6,12,31,51,27.110440843259312,24.80189963804379,0,3,15,39,13,14,9,7,37,63,73867.24722333335,100892.86650619855,14030.863013698634,23960.260273972606,13,19,5,5649.498630136986,6383.205479452054,1998.1589041095892,7,18,38,1709.0575342465752,5524.273972602741,16726.92876712329,5277.0,5333.0,194.0,1318.0,1383.0,9104.0,8978.0,151.0,2368.0,2394.0
730,100,1.7403682389873407,1.7070088107851544,6,9,31,54,27.100371663168552,25.011527388609906,0,3,20,41,9,11,8,8,37,63,73613.52175152105,99852.27421475561,13984.476712328766,22798.20273972603,13,19,5,5588.5150684931505,6389.079452054795,2006.882191780822,7,18,38,1678.654794520548,5821.517808219179,15298.030136986301,5347.0,5257.0,202.0,1342.0,1357.0,9431.0,9222.0,152.0,2068.0,2122.0
1095,100,1.800375491968206,1.6311985210380175,6,8,31,55,27.868361735339874,25.25745510489617,0,3,21,40,10,12,6,8,37,63,74082.25231553182,98768.09497628234,14055.876712328767,21465.435616438357,13,19,5,5619.227397260274,6417.369863013698,2019.2794520547945,7,18,38,1703.3972602739725,5805.043835616439,13956.994520547947,5272.0,5293.0,211.0,1408.0,1321.0,9602.0,9696.0,167.0,1713.0,1817.0
1460,100,1.808065690650889,1.6490428792330079,6,8,31,55,28.467035789722836,26.091496923010393,0,3,21,47,9,5,7,8,37,63,73794.51104599416,98195.4603847033,13844.794520547945,21335.010958904113,13,19,5,5569.81095890411,6266.5150684931505,2008.468493150685,7,18,38,1674.7150684931505,5832.605479452056,13827.690410958901,5438.0,5202.0,195.0,1334.0,1336.0,9849.0,9505.0,160.0,1671.0,1810.0
1825,100,1.8526471194408847,1.5640911939219895,6,8,31,55,29.11761880499312,27.419844420975505,0,3,21,46,8,6,8,8,37,63,73539.34644114746,98292.53761811204,13831.394520547947,21247.063013698633,13,19,5,5538.542465753425,6323.002739726026,1969.849315068493,7,18,38,1669.9068493150685,5823.1671232876715,13753.989041095892,5384.0,5302.0,182.0,1356.0,1281.0,9878.0,9514.0,159.0,1768.0,1676.0
