tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75478.00720118258,102670.75617628313,15738.706849315071,25844.150684931516,13,19,5,5000.73698630137,8525.983561643836,2211.986301369863,7,18,38,2953.378082191781,6945.767123287672,15945.005479452051,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.7250749021762628,1.7118378892633865,6,10,31,53,27.21413796854059,24.69573778380432,0,3,13,39,15,13,9,8,37,63,73477.44503166452,100869.38830532358,13573.520547945207,23777.290410958904,13,19,5,5410.156164383563,6222.312328767123,1941.0520547945207,7,18,38,1716.3068493150683,5779.476712328767,16281.506849315065,5393.0,5476.0,143.0,1259.0,1234.0,9065.0,9051.0,231.0,2305.0,2343.0
730,100,1.716940704419941,1.419083610532429,6,7,31,56,26.94329142639382,24.66070318764498,0,3,16,41,14,12,7,7,37,63,73238.82297420115,99314.67371604496,13476.52328767123,22277.873972602752,13,19,5,5378.350684931506,6197.7808219178105,1900.3917808219176,7,18,38,1709.495890410959,5908.339726027396,14660.038356164385,5469.0,5445.0,120.0,1221.0,1250.0,9501.0,9360.0,279.0,1911.0,1944.0
1095,100,1.640851294467415,1.273759139231413,6,5,31,58,26.796371695200822,24.72030165308787,0,3,17,39,14,15,6,6,37,63,72934.50631888848,97003.20943031258,13522.090410958903,19988.457534246583,13,19,5,5407.758904109589,6167.8410958904105,1946.4904109589042,7,18,38,1755.7205479452055,5895.8,12336.936986301373,5441.0,5427.0,114.0,1258.0,1265.0,9894.0,10149.0,307.0,1266.0,1379.0
1460,100,1.6052875372612871,1.0872807685050898,5,5,32,58,26.697866311346765,24.64829160163235,0,3,18,43,12,11,7,6,37,63,73305.64711657689,96281.14266059663,13426.578082191782,19428.09315068493,13,19,5,5375.265753424657,6119.460273972603,1931.8520547945207,7,18,38,1715.150684931507,5859.547945205479,11853.394520547947,5514.0,5420.0,96.0,1274.0,1201.0,10173.0,10100.0,293.0,1211.0,1218.0
1825,100,1.5606944662863693,1.0966090081457502,5,4,32,59,26.550795121150898,24.769142741491923,0,5,20,47,9,5,8,6,37,63,72442.27873097327,95604.4283747731,12731.57534246575,18772.372602739724,13,19,5,4687.263013698631,6075.052054794522,1969.2602739726028,7,18,38,1748.9342465753423,5816.550684931507,11206.887671232877,5694.0,5551.0,115.0,1113.0,1032.0,10309.0,10330.0,229.0,1052.0,1075.0
