tick,Population,meanPDmale,meanPDfemale,PDyesMale,PDyesFemale,PDnoMale,PDnoFemale,meanBMImale,meanBMIfemale,bmiGrp1Male,bmiGrp1Female,bmiGrp2Male,bmiGrp2Female,bmiGrp3Male,bmiGrp3Female,bmiGrp4Male,bmiGrp4Female,Male,Female,QuantMale,QuantFemale,HFSSQuantMale,HFSSQuantFemale,SESlowMale,SESmedMale,SEShighMale,HFSSQuantSESLowMale,HFSSQuantSESMedMale,HFSSQuantSESHighMale,SESlowFemale,SESmedFemale,SEShighFemale,HFSSQuantSESLowFemale,HFSSQuantSESMedFemale,HFSSQuantSESHighFemale,countschema1Male,countschema2Male,countschema3Male,countschema4Male,countschema5Male,countschema1Female,countschema2Female,countschema3Female,countschema4Female,countschema5Female
0,100,1.7297297297297305,2.063492063492064,6,11,31,52,27.294561541282086,24.95204521227924,0,3,10,37,17,13,10,10,37,63,75317.24281331734,102459.82574468998,15709.4,25860.134246575337,13,19,5,4976.975342465753,8544.868493150687,2187.5561643835617,7,18,38,2975.5753424657537,6949.5917808219165,15934.967123287672,3424.0,5708.0,2370.0,1080.0,923.0,5877.0,10265.0,3837.0,1819.0,1197.0
365,100,1.6943070135568061,1.8532560323870695,6,10,31,53,27.105747761039527,24.75087714954874,0,3,14,37,15,17,8,6,37,63,72762.00978075746,99157.54913141069,12842.287671232874,22405.808219178074,13,19,5,5161.816438356164,5815.843835616439,1864.627397260274,7,18,38,1594.682191780822,5181.923287671233,15629.202739726024,5651.0,5614.0,16.0,1024.0,1200.0,9456.0,9496.0,16.0,1997.0,2030.0
730,100,1.6465179439599906,1.7249964634321229,6,9,31,54,27.065172562014187,24.53968763462508,0,3,16,42,12,11,9,7,37,63,72752.16456544457,98367.36267512968,12923.391780821918,21047.42191780822,13,19,5,5200.265753424657,5828.378082191781,1894.7479452054795,7,18,38,1568.9945205479453,5389.161643835616,14089.265753424657,5594.0,5661.0,0.0,1119.0,1131.0,9962.0,9568.0,0.0,1724.0,1741.0
1095,100,1.5997944926881031,1.5847939213274167,6,8,31,55,27.148375744183703,24.40407800176514,0,4,17,42,9,11,11,6,37,63,72902.68858636393,97164.96148853879,12863.665753424653,20003.126027397266,13,19,5,5204.356164383561,5797.361643835617,1861.9479452054793,7,18,38,1600.7780821917806,5114.578082191782,13287.7698630137,5620.0,5655.0,0.0,1111.0,1119.0,9977.0,10179.0,0.0,1385.0,1454.0
1460,100,1.6186651824583662,1.4157546897599198,6,7,31,56,27.28080393348825,24.427292976107474,0,3,20,47,9,6,8,7,37,63,72578.5373351361,96236.35585925993,12794.243835616438,19568.542465753428,13,19,5,5130.301369863014,5785.454794520548,1878.4876712328767,7,18,38,1586.3178082191782,5050.049315068493,12932.175342465749,5730.0,5543.0,0.0,1112.0,1120.0,10307.0,9969.0,0.0,1316.0,1403.0
1825,100,1.6152400669297158,1.2598579861517734,6,8,31,55,27.497090496693147,24.860723443367693,0,3,21,44,9,8,7,8,37,63,73035.1447377536,96801.62713354481,12840.5698630137,19845.734246575343,13,19,5,5179.613698630137,5777.416438356166,1883.5397260273971,7,18,38,1554.2328767123288,4718.213698630137,13573.287671232878,5694.0,5579.0,0.0,1125.0,1107.0,10234.0,9906.0,0.0,1464.0,1391.0
